mean	std	gene_id
        7.84278	            14.77490	NP_001003036.1
        0.54645	             0.85863	NP_001003037.1
        8.78764	            17.86778	NP_001003038.1
       89.55198	           103.46163	NP_001003039.2
        0.38517	             0.54890	NP_001003040.2
     1933.73175	          6830.67423	NP_001003041.1
        4.05424	             5.34413	NP_001003043.1
       33.80216	            70.03367	NP_001003044.1
       42.08759	            31.30211	NP_001003045.1
       12.36526	            25.30347	NP_001003046.1
       24.47877	            59.07737	NP_001003047.1
      105.29835	           110.96422	NP_001003048.1
        0.10362	             0.06479	NP_001003049.1
       22.92380	           112.86528	NP_001003050.1
        2.04990	             3.08801	NP_001003051.1
        0.25242	             0.21430	NP_001003052.1
        7.58856	             8.25622	NP_001003054.1
       38.82702	            13.73278	NP_001003055.1
        0.28273	             0.41698	NP_001003056.1
       18.02449	            24.55753	NP_001003057.1
       26.43643	            18.23233	NP_001003058.1
       10.86664	             6.09932	NP_001003059.2
       26.49618	            48.75726	NP_001003060.1
       64.13383	           160.97234	NP_001003061.1
      213.45210	           106.85939	NP_001003063.1
      111.32002	            44.60776	NP_001003064.2
       27.85252	            25.36304	NP_001003065.1
      429.97974	           458.48015	NP_001003067.2
        1.95052	             4.20877	NP_001003068.1
     7297.93962	         14003.68265	NP_001003069.1
        9.46170	            39.09941	NP_001003070.1
        8.49761	             7.48520	NP_001003071.1
       43.54209	            24.92267	NP_001003072.1
        2.12082	             4.49346	NP_001003073.1
        0.83672	             1.40338	NP_001003074.1
       11.64929	            21.16823	NP_001003075.1
        2.52872	             5.41622	NP_001003076.2
       12.04025	            16.71609	NP_001003077.1
       60.18903	           122.03339	NP_001003078.1
       13.91992	            40.08099	NP_001003079.1
      516.73113	           311.45938	NP_001003080.1
        2.34734	             5.55578	NP_001003081.1
      122.11686	           135.49208	NP_001003082.1
        1.03398	             1.79516	NP_001003083.1
        1.39731	             1.81710	NP_001003084.1
      327.80412	           526.46091	NP_001003085.1
        0.14737	             0.16148	NP_001003086.1
        1.79617	             2.71405	NP_001003087.2
       62.42296	           107.17960	NP_001003088.1
       10.03336	            25.82988	NP_001003089.1
       98.64414	           290.09672	NP_001003090.1
       13.98076	            22.21535	NP_001003091.1
        0.05944	             0.04798	NP_001003092.1
       10.83344	            10.07213	NP_001003093.1
        4.55854	            11.54119	NP_001003094.2
        2.38808	             3.73267	NP_001003095.1
       28.67099	            44.36773	NP_001003096.1
       69.40512	           187.54355	NP_001003097.2
        5.99948	            13.72481	NP_001003098.1
     2370.20440	          1148.33675	NP_001003099.1
     1463.97782	           781.48923	NP_001003100.2
      325.45607	           163.56573	NP_001003101.1
     1762.38191	           648.62017	NP_001003102.2
       69.95001	            25.45907	NP_001003103.1
       17.30208	             8.92744	NP_001003104.1
       27.86586	            11.36543	NP_001003105.1
        0.76300	             1.12615	NP_001003106.1
       23.64645	            17.03215	NP_001003107.2
        5.56309	             9.34124	NP_001003108.1
        6.68058	             9.44164	NP_001003109.1
       12.22096	            35.90667	NP_001003110.1
       10.62052	             8.26905	NP_001003111.1
       20.45995	            16.18255	NP_001003112.1
       11.02776	            26.78796	NP_001003113.1
       25.49977	            16.53519	NP_001003114.1
        9.76598	            15.85449	NP_001003116.1
        0.07441	             0.07665	NP_001003117.1
        2.66315	             5.89693	NP_001003118.1
      244.94886	           288.42448	NP_001003119.1
        3.91609	             6.71641	NP_001003120.1
        2.42090	             4.19927	NP_001003121.1
       35.86801	           104.50205	NP_001003122.1
       52.99760	            84.29961	NP_001003123.1
        3.82981	             7.70507	NP_001003124.1
       20.92768	            59.89606	NP_001003125.1
      802.83762	          1117.98121	NP_001003127.1
       90.50247	            49.75628	NP_001003128.1
        2.58174	             3.84284	NP_001003129.1
      125.43253	           237.78624	NP_001003130.1
      284.01192	           611.69279	NP_001003131.1
        5.82719	             6.31454	NP_001003132.1
       27.96388	            34.76024	NP_001003134.1
        0.19231	             0.28762	NP_001003135.2
       61.92708	           191.36858	NP_001003136.1
       21.76003	            73.68849	NP_001003138.2
       32.30794	            59.30354	NP_001003139.1
       32.51632	            25.43139	NP_001003140.1
        4.60592	             2.97688	NP_001003141.1
       21.43146	            25.76292	NP_001003143.1
        1.71056	             3.79080	NP_001003144.1
        8.66631	             8.33954	NP_001003145.1
       10.55509	            20.05852	NP_001003146.1
        3.02465	             2.72360	NP_001003147.1
        0.50774	             0.57567	NP_001003148.2
      461.59370	          1124.39577	NP_001003149.1
       81.95856	           176.69347	NP_001003150.1
        1.65293	             2.57655	NP_001003151.2
       56.89171	            27.66353	NP_001003152.1
      183.53153	            76.36901	NP_001003153.1
       14.42993	            13.78373	NP_001003155.1
       54.53763	            25.58272	NP_001003156.1
        5.88469	             8.71729	NP_001003157.2
       10.51668	             9.72028	NP_001003158.2
        0.28987	             0.21139	NP_001003159.1
       69.62509	           214.00651	NP_001003160.1
        2.54242	             2.72022	NP_001003162.1
        3.83819	             5.04496	NP_001003163.1
       82.37304	            52.69253	NP_001003164.1
        0.63796	             0.74760	NP_001003165.1
        0.88371	             0.53026	NP_001003166.1
        0.53382	             0.29707	NP_001003167.1
     3166.65090	         13519.83656	NP_001003168.1
       68.61567	            95.25387	NP_001003169.1
        1.38295	             2.00573	NP_001003170.1
      618.45635	          1304.49410	NP_001003171.2
       10.46415	            12.03300	NP_001003172.2
        8.90081	            21.65073	NP_001003173.1
        0.37734	             0.58632	NP_001003174.1
       85.33137	            99.99955	NP_001003175.2
        0.08025	             0.09266	NP_001003176.1
        1.47216	             1.72348	NP_001003177.1
        3.50467	             7.36782	NP_001003178.1
       19.22038	            20.19052	NP_001003180.1
        6.66361	             6.49133	NP_001003181.1
       95.19242	           133.90718	NP_001003182.1
       17.76083	            26.65428	NP_001003183.1
      151.85998	            72.85411	NP_001003184.1
      196.13164	           206.52765	NP_001003185.1
      161.39173	           351.97825	NP_001003187.1
        7.95109	            11.92366	NP_001003188.1
        1.66766	             4.95998	NP_001003189.1
        6.54297	            16.05925	NP_001003190.1
       46.23737	            29.28073	NP_001003191.1
       74.56706	            37.15490	NP_001003192.1
       32.56313	            29.92078	NP_001003193.1
        2.24334	             4.04571	NP_001003194.1
       24.71005	            36.64201	NP_001003195.1
        0.86949	             0.50317	NP_001003197.2
       69.24751	            96.80610	NP_001003198.1
       13.77523	            25.21655	NP_001003200.1
       10.59749	            19.61707	NP_001003201.1
        0.30850	             0.68486	NP_001003203.1
       26.73708	            23.25825	NP_001003204.1
       89.09107	           157.06278	NP_001003205.2
       50.13680	            24.26468	NP_001003206.1
        0.19556	             0.41675	NP_001003207.1
       50.93464	            25.04350	NP_001003208.1
        0.82266	             0.54916	NP_001003209.1
        1.66434	             1.82585	NP_001003211.2
        1.68951	             2.17832	NP_001003212.1
        0.04429	             0.02493	NP_001003213.1
      363.28900	           672.12325	NP_001003214.1
       27.90019	            68.05889	NP_001003215.2
       49.09328	            29.41259	NP_001003216.1
       32.24999	            36.50366	NP_001003217.2
       31.60086	            32.59542	NP_001003218.1
        0.98217	             1.38537	NP_001003219.1
       36.06037	            56.46214	NP_001003220.1
       67.50682	           130.08109	NP_001003221.1
        0.60172	             0.84142	NP_001003222.1
      212.08082	           256.11619	NP_001003223.1
        0.06251	             0.06836	NP_001003224.1
        7.96907	             5.50592	NP_001003225.1
       47.49888	            16.27329	NP_001003226.1
       56.03364	           103.90889	NP_001003227.1
      719.94003	          1208.14706	NP_001003228.1
       73.61872	            94.00492	NP_001003229.1
        0.22650	             0.21078	NP_001003230.1
       57.06597	            31.74600	NP_001003231.2
      209.79908	           137.38179	NP_001003232.1
        0.59043	             0.84971	NP_001003233.1
        9.93115	            11.60597	NP_001003234.1
        7.83973	            13.92619	NP_001003235.1
      187.89476	           123.21715	NP_001003236.1
       26.14814	            30.49627	NP_001003237.1
       16.93460	            10.42172	NP_001003238.1
       12.50620	             9.45020	NP_001003239.2
        4.40543	             7.30874	NP_001003240.1
      273.79430	           501.17437	NP_001003241.1
      321.35860	           666.78711	NP_001003242.2
       21.64293	            34.09652	NP_001003243.1
        5.58494	            15.36013	NP_001003244.4
        8.77092	            15.75057	NP_001003245.1
       29.73802	            28.54348	NP_001003246.2
       12.35184	            12.96628	NP_001003249.1
      130.41567	           107.07021	NP_001003250.1
      155.46477	            61.38116	NP_001003251.1
        8.27448	            16.07781	NP_001003252.1
       30.14469	            47.93519	NP_001003253.1
        8.20633	            17.92406	NP_001003255.1
       31.10922	            31.66966	NP_001003256.1
       38.05760	            30.12133	NP_001003257.1
       76.53503	            38.13629	NP_001003258.1
       66.67268	           122.23371	NP_001003260.1
      191.91302	            91.82707	NP_001003261.1
       23.72606	            54.31093	NP_001003262.1
      865.05475	           739.30332	NP_001003263.1
       39.89089	            12.82213	NP_001003264.1
      429.93715	          1395.95965	NP_001003265.1
       76.01617	            57.06072	NP_001003267.1
        8.39100	             8.83601	NP_001003268.1
      273.01696	           144.58901	NP_001003269.1
       86.28828	            28.49892	NP_001003270.1
       46.33193	            17.99493	NP_001003271.2
       50.21429	            22.78517	NP_001003272.1
      418.38011	           262.44241	NP_001003273.2
      273.38072	           162.55666	NP_001003274.1
       93.69329	            83.06617	NP_001003275.1
      139.00352	            77.33197	NP_001003276.1
       71.36094	            27.46889	NP_001003277.2
        2.34872	             2.41927	NP_001003278.1
       11.72713	            22.17770	NP_001003279.1
        1.40675	             1.97111	NP_001003280.1
       33.87285	            47.07239	NP_001003281.1
      138.15766	           422.66637	NP_001003282.1
      346.76020	           608.18527	NP_001003283.2
        1.71251	             2.33204	NP_001003284.1
        8.59494	            25.91951	NP_001003285.1
        2.96595	             5.24885	NP_001003286.1
        5.02802	             9.33845	NP_001003287.1
       32.05675	            14.49393	NP_001003288.1
        0.12044	             0.17919	NP_001003289.1
      159.33392	           516.23726	NP_001003290.1
       32.69016	            57.59020	NP_001003291.1
        0.46139	             0.49522	NP_001003292.1
        6.34092	             6.18275	NP_001003293.2
      131.84902	           120.60455	NP_001003294.1
     1112.87408	           915.74022	NP_001003295.2
      352.83920	           556.31793	NP_001003296.1
       74.09701	           131.30439	NP_001003297.1
       49.58537	            94.85895	NP_001003298.1
       29.64033	            61.79566	NP_001003299.1
        5.15921	             8.03365	NP_001003300.2
        3.20164	             8.81022	NP_001003301.1
        1.69797	             1.81883	NP_001003302.1
        0.61051	             1.34297	NP_001003304.2
        0.57814	             0.77916	NP_001003305.1
       84.77960	           190.08598	NP_001003307.1
        2.15982	             4.31760	NP_001003310.2
      178.61083	           142.20704	NP_001003312.1
      105.05586	            49.52190	NP_001003313.1
       89.00484	            62.62825	NP_001003315.1
      271.72055	           144.31342	NP_001003316.1
       83.11558	            42.30037	NP_001003317.1
      140.35304	            60.73279	NP_001003318.1
        0.98656	             3.65745	NP_001003319.2
       25.70289	            77.92888	NP_001003320.1
      168.02218	            68.94060	NP_001003321.1
        6.01659	            13.75271	NP_001003322.1
       14.93146	            52.30809	NP_001003323.1
      130.34357	            74.82708	NP_001003324.1
      296.82293	           147.47262	NP_001003325.1
      137.83270	            80.92127	NP_001003326.1
      467.85036	           510.84321	NP_001003327.1
        4.22053	            10.77777	NP_001003329.1
       43.07675	            30.85823	NP_001003331.1
      267.87179	           656.50513	NP_001003332.1
      167.64473	           592.57148	NP_001003333.1
      345.56514	          1228.72712	NP_001003335.1
       32.04546	            39.28574	NP_001003336.1
        9.92422	             9.10602	NP_001003337.1
       29.87226	            84.26776	NP_001003338.1
     1231.76751	          3502.34825	NP_001003339.1
       65.14885	           225.59776	NP_001003340.1
       62.98733	            62.32201	NP_001003341.1
        0.27104	             0.44388	NP_001003342.1
        8.61436	             3.57160	NP_001003343.1
       21.47360	            14.01254	NP_001003344.1
       80.39736	            86.70370	NP_001003345.1
        0.10017	             0.17391	NP_001003347.1
       52.46310	           100.24357	NP_001003348.1
      907.88786	           589.08769	NP_001003349.2
       17.47664	            11.51382	NP_001003350.1
        9.64556	            13.20202	NP_001003351.1
       11.32831	            37.30733	NP_001003352.1
       27.57196	            28.28230	NP_001003353.1
        2.23020	             3.99034	NP_001003354.1
       14.33297	             7.59597	NP_001003355.1
       26.13653	            77.38027	NP_001003356.2
       69.77376	            65.22771	NP_001003357.2
        6.32501	            14.36841	NP_001003359.1
        1.02795	             1.07706	NP_001003360.2
        6.97768	             2.25959	NP_001003361.1
       21.58293	            13.38713	NP_001003362.1
       11.86005	            16.41677	NP_001003363.1
      157.17939	            93.97177	NP_001003364.1
        4.65143	             7.45232	NP_001003365.1
       11.40111	             8.34866	NP_001003366.1
      163.60272	           124.81611	NP_001003367.1
      516.67421	          1840.57516	NP_001003368.1
     1008.76567	          3524.85446	NP_001003369.2
      549.23041	           770.71770	NP_001003370.1
        0.65168	             1.84298	NP_001003371.2
       38.61361	            65.13181	NP_001003372.1
        3.76027	             4.98966	NP_001003373.1
        9.17413	             3.74299	NP_001003376.1
        1.98353	             3.21617	NP_001003377.1
        0.80593	             2.32175	NP_001003378.1
        0.75063	             1.42717	NP_001003380.1
        0.50608	             1.86104	NP_001003381.1
       25.81678	            18.90571	NP_001003382.1
       21.31685	            20.83969	NP_001003383.1
        1.43882	             3.25653	NP_001003384.1
        8.18164	             8.75471	NP_001003385.1
        8.02594	            29.22658	NP_001003386.2
       69.64692	            68.21383	NP_001003387.1
       16.51395	             9.13729	NP_001003390.1
     1523.35308	          3376.38092	NP_001003392.1
       40.72628	            82.10353	NP_001003401.1
        0.54070	             1.08366	NP_001003402.2
      166.07047	           632.85615	NP_001003405.1
        0.34392	             0.17805	NP_001003666.2
        0.55812	             0.85159	NP_001003668.2
        1.45206	             2.54681	NP_001003670.1
        0.89411	             1.65456	NP_001003671.1
        3.80322	             9.33620	NP_001003672.1
        0.46763	             0.86385	NP_001003691.1
        0.39634	             0.30531	NP_001003705.1
       55.66134	           106.59217	NP_001003706.2
        0.58811	             0.69271	NP_001003707.2
       19.62537	             9.59524	NP_001003708.1
      103.09950	            41.61775	NP_001003709.1
       17.46604	            56.30191	NP_001003711.2
       12.77197	            20.39560	NP_001003817.1
       38.30882	            40.44356	NP_001003893.1
        1.68862	             3.53006	NP_001003910.2
        0.01477	             0.04104	NP_001003915.1
       11.90028	            11.64886	NP_001003917.2
       15.49423	            41.46919	NP_001003934.1
        1.41093	             3.78620	NP_001003947.1
        4.95656	             3.62319	NP_001003952.1
        5.75676	             8.25501	NP_001003955.1
        0.49429	             0.71724	NP_001003958.1
        0.71586	             0.81865	NP_001003964.2
        0.02630	             0.01966	NP_001003965.1
       27.88110	            47.05705	NP_001003966.1
       40.01772	            47.00405	NP_001003967.1
       61.64699	           119.56777	NP_001003968.1
        1.48370	             2.50239	NP_001003969.1
        1.89867	             1.13626	NP_001003970.1
       14.32842	            24.76941	NP_001003974.1
        8.60610	             4.22266	NP_001003975.1
       66.72877	            20.85795	NP_001003978.1
        1.52384	             2.77970	NP_001004021.1
      276.22552	           682.59781	NP_001004022.1
       24.79261	            47.77099	NP_001004025.1
        1.87265	             1.18956	NP_001004066.1
        0.17457	             0.20026	NP_001004070.1
        2.37431	             5.77797	NP_001004071.1
      198.33210	           168.74100	NP_001004072.2
        9.39843	            17.99683	NP_001004073.1
      190.36370	           147.31735	NP_001004074.1
        5.62201	             6.62723	NP_001004076.2
      309.00813	           320.90739	NP_001004077.1
      233.17628	           104.88332	NP_001004078.1
       28.09321	            59.39207	NP_001004079.1
      943.56866	          1491.49595	NP_001004080.1
       15.56111	            16.41581	NP_001004081.1
      186.95297	           327.73482	NP_001004084.1
      148.97438	           213.38820	NP_001004085.1
       74.23089	           123.20263	NP_001004086.1
        2.54087	             4.61108	NP_001004088.3
       21.06969	            24.54288	NP_001004089.2
       17.46299	            22.35111	NP_001004090.2
       12.48986	            16.22255	NP_001004091.1
      106.74793	           110.70142	NP_001004092.1
      589.42596	           738.74375	NP_001004095.1
       10.37217	            53.71916	NP_001004096.1
        2.81890	            12.25720	NP_001004097.1
        3.93589	             1.73327	NP_001004098.1
       10.75989	            42.59931	NP_001004099.1
       10.52772	            26.76293	NP_001004100.1
        0.02592	             0.00828	NP_001004101.1
       38.65165	            58.50977	NP_001004129.1
        1.58339	             5.34531	NP_001004130.1
        0.68465	             1.42680	NP_001004131.1
        3.81262	             4.07821	NP_001004140.2
        0.25835	             0.25854	NP_001004142.2
       31.73574	            30.72606	NP_001004143.2
       28.04491	            50.40159	NP_001004144.1
        6.04519	            13.41014	NP_001004147.1
        2.51844	             2.73223	NP_001004149.1
        0.52669	             0.81476	NP_001004151.1
        0.05729	             0.03425	NP_001004152.1
        0.76583	             0.45274	NP_001004153.2
       10.60877	            22.69405	NP_001004154.1
        2.33048	             2.45841	NP_001004155.2
        5.97342	             5.65734	NP_001004157.2
      271.97055	           127.70126	NP_001004158.1
        0.45794	             0.68502	NP_001004159.1
        7.85393	             5.37441	NP_001004164.2
        9.88801	            21.60167	NP_001004173.1
       88.51377	           204.82013	NP_001004174.1
        2.86169	             2.17550	NP_001004176.2
        4.40846	             2.20092	NP_001004178.1
        5.49183	             7.68135	NP_001004180.1
        0.18621	             0.22912	NP_001004184.2
        8.89950	             4.19067	NP_001004185.3
        1.94387	             1.12007	NP_001004190.2
      106.32065	           242.08056	NP_001004191.2
       37.45117	            22.23268	NP_001004192.1
        1.81246	             3.26207	NP_001004193.1
        0.53754	             0.23346	NP_001004194.2
        5.08267	             5.57290	NP_001004200.1
      130.89097	           376.78760	NP_001004201.1
       64.36699	           108.28992	NP_001004202.1
       11.00023	            14.51136	NP_001004203.3
        0.56057	             0.56226	NP_001004204.1
       34.61882	            30.82783	NP_001004205.1
      104.44457	            36.06589	NP_001004206.1
       43.56668	            16.71037	NP_001004207.1
       84.99289	            21.62997	NP_001004208.1
       61.86583	            78.08270	NP_001004209.1
      120.43859	            73.92290	NP_001004213.1
       20.85920	            15.70718	NP_001004214.1
       33.49551	            37.91947	NP_001004215.1
        0.25371	             0.39799	NP_001004216.1
       13.31862	             5.84094	NP_001004217.2
       20.58028	            16.72146	NP_001004218.1
      264.04070	           240.05738	NP_001004220.1
       60.88417	            21.72336	NP_001004221.2
       36.17668	            25.42429	NP_001004222.1
      644.58163	           200.82017	NP_001004223.1
      167.51857	           157.42244	NP_001004225.1
       53.71043	            33.18210	NP_001004226.1
       39.36877	            15.66254	NP_001004227.1
       37.63610	            43.74893	NP_001004229.1
       27.16987	            14.93660	NP_001004230.1
       20.84589	            43.93689	NP_001004232.1
        0.95649	             1.20352	NP_001004234.1
       71.34899	            52.45037	NP_001004235.1
      111.98067	           303.27420	NP_001004236.1
       52.70600	            20.26550	NP_001004238.1
      125.18655	            69.96076	NP_001004239.1
       36.24794	            15.27034	NP_001004240.1
       96.61056	            55.22076	NP_001004241.1
       15.52542	            23.28605	NP_001004242.1
       37.17015	            12.40644	NP_001004244.2
       39.16461	            48.06919	NP_001004245.1
        2.78433	             6.38332	NP_001004247.1
      271.88336	           248.95996	NP_001004250.1
       30.40522	             9.21783	NP_001004251.1
       28.32507	            10.91535	NP_001004252.1
       16.96737	             5.35972	NP_001004254.1
       43.87686	            29.62548	NP_001004256.1
       20.41416	            13.12507	NP_001004257.1
       20.48231	             9.64368	NP_001004258.1
       17.93015	            41.89868	NP_001004260.1
       39.77566	            43.92487	NP_001004262.1
        0.83384	             1.08068	NP_001004263.1
       13.97644	            32.25987	NP_001004264.1
       19.12980	            30.17454	NP_001004265.2
       42.27470	            87.67570	NP_001004266.1
       32.24693	            22.70387	NP_001004267.1
        3.64037	             3.77517	NP_001004268.1
       24.23846	            14.22764	NP_001004269.1
       56.98693	           159.36558	NP_001004271.1
      104.31638	           203.38842	NP_001004274.1
       93.96568	            39.94251	NP_001004275.1
       27.80567	            14.56115	NP_001004276.1
       18.89103	            29.90222	NP_001004277.1
        0.61495	             0.67728	NP_001004278.2
       64.58666	            25.94381	NP_001004279.1
       68.73297	            27.96080	NP_001004280.1
       25.54318	            46.00182	NP_001004282.1
       82.10974	            27.45975	NP_001004283.1
       16.62489	            39.00472	NP_001004284.1
        3.56609	             7.96694	NP_001004357.2
        4.41390	             6.03229	NP_001004361.2
        5.11080	             2.96876	NP_001004362.2
        7.21153	             7.82258	NP_001004363.1
       11.06706	            21.11546	NP_001004365.1
       17.79990	             6.35034	NP_001004436.2
      213.61164	           194.84630	NP_001004442.1
       97.59024	            61.06934	NP_001004443.1
       17.17198	             6.33742	NP_001004445.1
        0.03105	             0.04301	NP_001004446.1
      122.09519	           126.88386	NP_001004447.1
        0.22136	             0.34876	NP_001004448.2
        0.11442	             0.06945	NP_001004449.2
       28.57001	            11.28168	NP_001004721.1
        7.07490	            18.37778	NP_001004761.1
       16.33438	             8.95914	NP_001005223.1
        0.03918	             0.02413	NP_001005225.1
        0.04991	             0.04092	NP_001005232.1
        0.00287	             0.00739	NP_001005247.2
      167.03301	           270.52009	NP_001005250.1
      110.64473	           234.64730	NP_001005251.2
        9.32122	            11.73738	NP_001005252.1
      423.76770	          1035.34018	NP_001005253.1
       14.17910	            22.89375	NP_001005254.1
       53.62632	           108.10626	NP_001005255.1
       69.75283	           106.74468	NP_001005256.1
       16.42592	            28.08193	NP_001005257.1
      628.48731	          1078.83537	NP_001005258.1
        4.66947	             5.07933	NP_001005259.1
       20.99271	            50.32858	NP_001005260.1
        1.34445	             3.38354	NP_001005261.1
       23.01610	            15.07720	NP_001005262.2
       48.53636	           210.34959	NP_001005263.1
        6.38337	             7.63727	NP_001005264.2
       12.64190	            22.68062	NP_001005342.1
        0.68632	             1.44293	NP_001005343.1
        4.29173	             1.98452	NP_001005358.2
        1.40805	             2.33389	NP_001005370.1
        4.64389	            18.80112	NP_001005378.1
        2.89939	             6.15204	NP_001005379.1
        1.62284	             2.06366	NP_001005380.1
       27.44162	            11.51399	NP_001005381.2
       37.50137	            41.66622	NP_001005383.2
        5.33181	             5.44617	NP_001005384.2
       12.95856	             6.86229	NP_001005419.2
        1.28618	             1.30855	NP_001005420.1
        1.90812	             4.91401	NP_001005422.1
       11.13140	            12.67483	NP_001005423.1
        7.76237	            14.51414	NP_001005424.2
        0.25393	             0.18906	NP_001005425.1
        0.12557	             0.14150	NP_001005477.1
        9.28211	             5.47981	NP_001005506.2
       19.45932	            44.51900	NP_001005508.2
       45.75316	            17.74647	NP_001005509.1
        7.07933	             6.14349	NP_001005510.2
        0.27463	             0.14083	NP_001005524.2
       35.56602	            14.72602	NP_001005525.1
       48.97254	            13.45702	NP_001005529.1
        4.59422	             5.17372	NP_001005530.1
       55.03008	           103.61589	NP_001005531.1
      202.63974	           128.15507	NP_001005534.1
       21.29789	             8.53635	NP_001005536.1
       94.91477	            46.51843	NP_001005537.1
        4.40040	             2.86091	NP_001005538.2
       94.65362	            95.93822	NP_001005539.1
       21.65173	             7.40114	NP_001005541.1
       20.43180	            26.87172	NP_001005542.2
       19.74118	            19.04064	NP_001005543.1
       34.84458	            14.41866	NP_001005545.1
       34.36550	            98.18930	NP_001005546.1
       19.58177	             8.92963	NP_001005548.1
        0.75809	             1.67976	NP_001005549.1
      171.97873	           176.89363	NP_001005550.1
       16.33619	            46.05528	NP_001005551.1
       65.26813	           129.98319	NP_001005552.1
        0.12689	             0.85092	NP_001005553.1
      110.97991	            72.40927	NP_001005554.1
        2.81172	             2.78789	NP_001005556.1
       89.42348	           125.90629	NP_001005557.1
       13.68080	            15.39312	NP_001005558.1
       53.12459	            28.49964	NP_001005561.2
       11.09624	             6.64306	NP_001005563.1
       23.21717	            17.39324	NP_001005564.1
        0.07904	             0.03590	NP_001005568.1
        8.11827	            10.97743	NP_001005754.1
        0.29349	             0.47790	NP_001005755.1
       46.34601	            78.50721	NP_001005756.1
       21.50259	            20.77167	NP_001005757.1
       10.64166	            36.07554	NP_001005758.1
        0.05837	             0.05779	NP_001005759.1
        5.90878	             4.20360	NP_001005760.1
       12.87747	             8.61256	NP_001005761.1
       13.96564	            12.10318	NP_001005762.1
        0.46106	             0.53976	NP_001005763.1
       10.41493	             5.59518	NP_001005765.1
       32.68923	            14.73181	NP_001005767.1
        0.66786	             0.65819	NP_001005788.2
       31.21436	            23.24215	NP_001005847.1
        1.29471	             3.21631	NP_001005860.1
       17.02904	            22.37242	NP_001005868.1
        2.96181	             6.52708	NP_001005869.1
        0.28788	             0.40600	NP_001005870.1
       28.76246	            18.95763	NP_001005873.1
       97.91139	           160.19779	NP_001005874.2
      123.66208	            35.77067	NP_001005875.1
       97.90194	            89.66047	NP_001005876.1
        2.70505	             4.65419	NP_001005877.1
        6.98665	             9.81206	NP_001005878.1
        0.63298	             0.93550	NP_001005880.1
       15.63705	             5.89413	NP_001005882.1
       24.01800	            22.48012	NP_001005883.1
       32.84079	            16.23919	NP_001005884.1
        4.67439	             7.91319	NP_001005885.1
        6.05211	            10.65991	NP_001005886.1
       23.60326	             8.77588	NP_001005887.2
       14.26636	            22.95409	NP_001005890.1
        0.71662	             1.83771	NP_001005891.1
        3.19047	             8.23139	NP_001005896.2
        0.85592	             2.00089	NP_001005897.2
       22.08085	            70.16691	NP_001005898.3
       11.58486	            21.81174	NP_001005900.1
        7.13799	             3.52240	NP_001005902.1
       50.02596	            81.84436	NP_001005904.1
       23.77809	            22.19826	NP_001005906.1
      341.27285	           212.57273	NP_001005908.1
        9.85470	             4.70869	NP_001005916.1
        0.10941	             0.08639	NP_001006595.1
        0.69844	             1.20749	NP_001006598.1
        0.78047	             0.81771	NP_001006599.1
      273.16101	           252.35816	NP_001006601.2
       26.85727	            11.19250	NP_001006602.1
      479.25872	          1811.58664	NP_001006645.1
       18.97406	            35.77138	NP_001006646.1
        0.34953	             0.27527	NP_001006648.1
        0.34239	             0.73787	NP_001006649.1
        4.77872	             3.53995	NP_001006650.1
       17.56709	            11.48352	NP_001006651.1
        4.68832	             2.04430	NP_001006652.2
      126.34319	           335.99167	NP_001006653.1
        1.72264	             1.10134	NP_001006654.2
        2.15546	             3.12137	NP_001006949.1
       16.83834	            62.95055	NP_001006950.1
        3.85238	             5.55615	NP_001006951.1
        3.86453	            11.56600	NP_001006952.1
       28.52419	            56.29551	NP_001006954.1
       11.88697	             8.40841	NP_001006955.1
       14.69137	            37.90262	NP_001006957.1
       75.40999	            37.26313	NP_001006958.1
       13.74187	            13.62542	NP_001006959.1
       15.96192	            15.80914	NP_001006961.1
      581.64157	           284.20980	NP_001006964.1
       48.72065	            21.62592	NP_001006965.1
       95.95852	            40.68498	NP_001006966.1
       63.85666	            55.70136	NP_001006967.1
        3.66255	             4.74836	NP_001006969.1
      363.31981	           336.24011	NP_001006971.1
        7.99657	             5.40127	NP_001006972.1
       77.53103	            33.74340	NP_001006974.2
       24.66436	            11.36361	NP_001006975.1
       16.74777	            25.72861	NP_001006976.1
       67.73692	            21.39650	NP_001006979.1
       55.60237	            65.75766	NP_001006981.1
       10.17253	             9.14832	NP_001006983.1
       65.76115	            30.53463	NP_001006984.1
        6.53743	             4.45867	NP_001006985.1
       68.02162	            45.86838	NP_001006986.1
       34.96975	            49.44579	NP_001006989.2
        3.00282	             4.63754	NP_001006991.1
       44.81054	            28.42116	NP_001006992.1
      235.91982	           647.33596	NP_001006993.2
       37.93439	            54.48114	NP_001006994.1
       39.15221	            47.73415	NP_001006996.1
       84.51745	            39.91117	NP_001006998.1
        2.67411	             3.60510	NP_001006999.1
       23.56222	            12.59288	NP_001007001.2
       30.03511	            64.42919	NP_001007002.1
      168.48270	           184.92495	NP_001007005.1
      218.94293	           126.86955	NP_001007006.1
       42.51094	            66.63325	NP_001007007.1
      588.56620	           535.50431	NP_001007009.1
       24.64736	            61.74569	NP_001007010.1
