Annotee_Identifier	Human_Readable_Description
FBpp0160397	fibronectin type iii domain containing protein
FBpp0184939	cuticle protein
FBpp0203074	splicing factor arginine serine rich
FBpp0134174	cg
FBpp0161301	leucine rich repeat protein soc
FBpp0233380	protein phosphatase
FBpp0162555	golgi snap receptor complex member
GA19297-PA	pre mrna processing factor
FBpp0219727	protein takeout
FBpp0264720	enoyl coa hydratase mitochondrial
FBpp0188552	ig domain containing protein
FBpp0210639	cg
FBpp0199055	pneumococcal serine rich repeat protein x2
FBpp0166521	fast kinase domain containing protein 1 mitochondrial
FBpp0265021	gd
FBpp0307948	zp domain containing protein
FBpp0260174	gl
FBpp0123135	mitochondrial dicarboxylate carrier
GA16503-PA	male specific sperm protein mst84dc
FBpp0265490	protein javelin
FBpp0269071	pre mrna processing factor
FBpp0135378	dnaj subfamily b member
FBpp0175283	histone lysine n methyltransferase 2c
FBpp0164207	inositol oxygenase
FBpp0177485	insulin domain containing protein
FBpp0232847	unknown protein
FBpp0226142	nudc domain containing protein
FBpp0243735	udp glucuronosyltransferase
FBpp0199401	carboxypeptidase
FBpp0131301	endoplasmic reticulum golgi intermediate compartment protein
FBpp0161671	larval pupal cuticle protein h1c
FBpp0188397	chitin binding type domain containing protein
FBpp0319163	zinc finger miz domain containing protein
FBpp0166177	coiled coil domain containing protein 28b
FBpp0197630	c2h2 type domain containing protein
GA22021-PA	eukaryotic translation initiation factor subunit f 1
FBpp0125346	protein stoned a
FBpp0182554	pupal cuticle protein g1a
FBpp0207341	gh
FBpp0182426	trichohyalin
FBpp0196121	sea domain containing protein
FBpp0263316	u2 small nuclear ribonucleoprotein auxiliary factor kda subunit protein
FBpp0242779	rna directed dna polymerase
FBpp0261518	coatomer subunit delta
FBpp0218906	28s ribosomal protein s21 mitochondrial
FBpp0138558	aquaporin x1
FBpp0271341	organic cation transporter protein
FBpp0258839	odorant receptor
FBpp0243209	tetratricopeptide repeat protein
FBpp0238801	cg pa
FBpp0155001	cytochrome p450
GA12894-PA	non specific serine threonine protein kinase
FBpp0113299	cold shock domain containing protein e1
FBpp0070432	kinesin motor domain containing protein
FBpp0119042	zinc finger protein chinmo
FBpp0119773	adenosine deaminase domain containing protein
FBpp0074192	dnaj subfamily c member
FBpp0239905	udp glucuronosyltransferase
FBpp0115228	ccr not transcription complex subunit
FBpp0134504	recognition domain containing protein
FBpp0318027	unknown protein
FBpp0252880	lipase domain containing protein
FBpp0234515	lipoma hmgic fusion partner protein
FBpp0087032	endocuticle structural glycoprotein sgabd
FBpp0170479	valine trna ligase
FBpp0134047	glial cell line derived neurotrophic family receptor
FBpp0184801	cg
GA18415-PA	protein mab
FBpp0255534	mitochondrial transcription rescue factor
FBpp0171130	unknown protein
FBpp0172219	unknown protein
GA17379-PA	fidgetin protein
FBpp0120255	fatty acyl coa reductase
FBpp0186372	ig domain containing protein
FBpp0143437	n acetylgalactosaminide beta galactosyltransferase
FBpp0073597	nuclear speckle splicing regulatory protein n terminal domain containing
GA15918-PA	transcription factor sox
FBpp0187574	eukaryotic translation initiation factor subunit g 2
FBpp0157292	dolichyl phosphate mannose protein mannosyltransferase
FBpp0077736	transcription factor btf
FBpp0190901	atp synthase membrane subunit k mitochondrial
FBpp0119576	gd
FBpp0188693	tbc domain family member x1
GA12678-PA	f actin uncapping protein lrrc16a
FBpp0179848	bifunctional 3 phosphoadenosine 5 phosphosulfate synthase
FBpp0257430	kazal domain containing protein
FBpp0137608	g protein coupled receptors family profile domain containing
FBpp0150568	tubulin polyglutamylase ttll
FBpp0113614	unknown protein
FBpp0128600	zinc carboxypeptidase a
FBpp0231729	o acyltransferase wsd c terminal domain containing protein
FBpp0226349	c2h2 type domain containing protein
FBpp0260934	cg
FBpp0172785	complex iii assembly factor lyrm
FBpp0261788	tata element modulatory factor protein
FBpp0248931	uma domain containing protein
FBpp0188100	protein tramtrack alpha x1
FBpp0122904	gm
FBpp0120654	mucin 5ac x2
GA22083-PA	gpi mannosyltransferase
FBpp0131294	[histone h4] n methyl l lysine 20 methyltransferase
FBpp0080238	dual oxidase maturation factor
FBpp0087252	death associated protein
FBpp0319269	g protein coupled receptor kinase
FBpp0232645	beta hexosaminidase
FBpp0152511	poly [adp ribose] polymerase
FBpp0170333	lactosylceramide 4 alpha galactosyltransferase
FBpp0193923	t complex protein
FBpp0135832	cytoplasmic aconitate hydratase
FBpp0148907	protein tincar x1
FBpp0220361	borealin n terminal domain containing protein
FBpp0145136	zinc finger protein ush
FBpp0118585	ig domain containing protein
FBpp0226834	protein encore
GA16272-PA	acid phosphatase
FBpp0257454	endoplasmic reticulum metallopeptidase
FBpp0149096	nicotinamidase
FBpp0166738	gh
FBpp0230906	ap complex subunit beta protein
FBpp0164737	transport and golgi organization 2
FBpp0194913	serine threonine protein kinase atr
FBpp0214587	zinc finger protein
FBpp0248153	longitudinals lacking protein isoforms h m v x8
FBpp0156570	iron sulfur cluster assembly scaffold protein iscu
FBpp0129036	sodium and transporter
FBpp0320493	mitochondrial 2 oxodicarboxylate carrier
FBpp0221786	prefoldin subunit
FBpp0133389	cg
FBpp0162341	asparagine synthetase [glutamine hydrolyzing]
FBpp0267119	glycerol phosphate phosphatase
FBpp0252150	neuropeptide protein
FBpp0157759	socs box domain containing protein
FBpp0199150	gm
FBpp0268338	g patch domain containing protein
FBpp0173121	cryptochrome
FBpp0160768	orm protein
FBpp0125817	tubulin polyglutamylase ttll
FBpp0080564	dna directed rna polymerase ii subunit rpb
FBpp0134989	complex i 49kd
FBpp0155539	gh
FBpp0226671	t snare coiled coil homology domain containing protein
GA13295-PA	serine aspartate repeat containing protein f
FBpp0217274	gd
FBpp0084917	adam protease
FBpp0328513	a protein n terminal domain containing
FBpp0315926	pleckstrin homology domain containing family g member
FBpp0167803	digestive cysteine proteinase
FBpp0117110	gag protein
FBpp0139406	synaptic defective enhancer
FBpp0180990	protein tumorous imaginal discs mitochondrial
FBpp0176036	cg protein
FBpp0210768	cationic amino acid transporter protein
FBpp0231149	amyloid protein binding
FBpp0259969	catalytic domain containing protein
FBpp0161537	alpha macroglobulin protein x1
FBpp0165440	syntaxin binding protein x1
FBpp0127825	40s ribosomal protein s12
FBpp0085641	dynein light chain roadblock type
GA13080-PA	gl
FBpp0271787	phosphoglycolate phosphatase
FBpp0246027	serine arginine repetitive matrix protein
FBpp0115697	receptor expression enhancing protein
FBpp0133065	wkf domain containing protein
FBpp0157767	gh
FBpp0156395	rna polymerase ii associated protein
FBpp0289369	stellate orphon protein at 12d
FBpp0303988	c2 domain containing protein
FBpp0132952	acyl coa binding protein
FBpp0183475	short chain dehydrogenase reductase family 16c member
FBpp0244265	proteasome subunit beta
FBpp0259858	pre c2hc domain containing protein
FBpp0156580	transmembrane protein
FBpp0088585	activating signal cointegrator
FBpp0085352	ecdysone receptor
FBpp0163334	microphthalmia associated transcription factor
FBpp0244761	snf serine threonine protein kinase
FBpp0246636	cg
FBpp0116218	retrotransposon gag domain containing protein
FBpp0121031	aurora kinase
FBpp0247227	tes
FBpp0188807	eb domain containing protein
FBpp0243339	af fmr family member
FBpp0199056	pneumococcal serine rich repeat protein x1
FBpp0207244	trissin
FBpp0121400	sidoreflexin
FBpp0292796	duf 4729 domain containing protein
FBpp0126143	adam endopeptidase
FBpp0230690	pou domain protein
FBpp0131524	protein transport sec
FBpp0208299	serine rich adhesin for platelets
FBpp0205996	39s ribosomal protein l39 mitochondrial
FBpp0198374	protein sleepless
FBpp0316599	gd
FBpp0138430	drosophila melanogaster
FBpp0149219	cytosolic fatty acid binding proteins domain containing protein
FBpp0115720	spermine oxidase
FBpp0129924	protein takeout
GA16240-PA	scp domain containing protein
FBpp0291051	papilin x1
FBpp0323032	fatty acid synthase
FBpp0245745	dynein heavy chain cytosolic
FBpp0128732	glucose phosphate 1 epimerase
FBpp0205703	dolichyl phosphate mannose protein mannosyltransferase
FBpp0152815	guanylate cyclase
FBpp0119011	c type lectin domain containing protein
FBpp0242198	protein d2
FBpp0152193	peptidase s1 domain containing protein
FBpp0308988	lrrct domain containing protein
FBpp0214609	vanin protein
FBpp0221361	ribonuclease
FBpp0234024	endonuclease exonuclease phosphatase domain containing protein
FBpp0179150	general transcription factor iih subunit
FBpp0162364	ubx domain containing protein 1
FBpp0242351	rna methyltransferase
FBpp0253443	utp glucose phosphate uridylyltransferase
FBpp0261720	exonuclease domain containing protein
FBpp0118816	ascorbate ferrireductase transmembrane
FBpp0201214	histone h4
FBpp0236614	proteasome subunit beta
FBpp0259754	dna replication complex gins protein psf
FBpp0224114	methuselah n terminal domain containing protein
FBpp0187168	copper homeostasis protein cutc
FBpp0075018	cg pa
FBpp0306060	kazal domain containing protein
FBpp0123254	trichohyalin x1
FBpp0143217	kismet
FBpp0082297	protein abitram
FBpp0175292	alpha catulin
FBpp0256017	l gulonate 3 dehydrogenase
FBpp0148037	cystatin domain containing protein
FBpp0159028	e3 ubiquitin protein ligase apd middle domain containing
FBpp0179639	abelson tyrosine protein kinase
FBpp0180547	sex peptide receptor d
FBpp0313059	extensin
FBpp0233014	rna binding protein nob
FBpp0235620	cytoplasmic trna 2 thiolation protein
FBpp0249418	membrane bound transcription factor site protease
FBpp0247640	protein mms
FBpp0240897	kelch and btb domain containing protein
FBpp0119397	dna repair protein rad
FBpp0255843	beclin protein
FBpp0319458	gl
FBpp0114931	tir domain containing protein
FBpp0228318	chitin synthase
FBpp0264484	gd
FBpp0169154	g patch domain and ankyrin repeat containing protein
FBpp0165797	neurobeachin protein x2
FBpp0221716	39s ribosomal protein l28 mitochondrial
FBpp0234795	protein 5nuc x1
FBpp0265680	peptide n 4 acetyl beta glucosaminyl asparagine amidase
FBpp0201234	gm
FBpp0249437	translationally controlled tumor protein
FBpp0259137	facilitated trehalose transporter tret
FBpp0260991	vesicle transport protein got1b
FBpp0155859	maguk p55 subfamily member x3
FBpp0204906	c2h2 type domain containing protein
FBpp0142089	anion exchange protein
FBpp0250198	protein mcm
FBpp0121873	dipeptidyl peptidase
FBpp0264882	myrosinase
FBpp0202601	cg domain containing protein
FBpp0319659	gelsolin domain containing protein
FBpp0268675	fructose bisphosphate aldolase
FBpp0260572	mitochondrial fission process protein
FBpp0149402	duf 4485 domain containing protein
FBpp0259440	rnase nyn domain containing protein
FBpp0174084	glycine alanine and asparagine rich protein
FBpp0137181	ascorbate ferrireductase transmembrane
FBpp0201571	dystroglycan
FBpp0088056	mesoderm induction early response protein
FBpp0081194	homeotic protein labial
FBpp0218927	trab domain containing protein
FBpp0142431	cysteine sulfinic acid decarboxylase
FBpp0150591	protein tyrosine phosphatase
FBpp0176104	homeobox protein prospero
FBpp0223663	threonylcarbamoyl amp synthase
FBpp0175955	glycerol phosphate dehydrogenase
FBpp0297661	protein skeletor isoforms b c
FBpp0169823	unknown protein
GA18284-PA	coiled coil domain containing protein
GA16470-PA	dna apurinic or apyrimidinic site endonuclease
FBpp0314359	gm
FBpp0234744	apoptosis inhibitor 5 2
FBpp0166799	neurogenic protein big brain
FBpp0198702	ig domain containing protein
FBpp0141805	protein espinas
FBpp0313725	homeotic protein antennapedia x1
FBpp0206354	pih n terminal domain containing protein
FBpp0259162	gd
FBpp0117431	fibrinogen c terminal domain containing protein
FBpp0260878	rrm domain containing protein
FBpp0140223	39s ribosomal protein l13 mitochondrial x3
FBpp0077837	cysteine sulfinic acid decarboxylase
FBpp0086598	kelch protein 40b
FBpp0120756	chk kinase domain containing protein
FBpp0172841	g protein coupled receptors family profile domain containing
FBpp0123334	trna 34 2 o methyltransferase regulator wdr
FBpp0220330	protein tyrosine phosphatase type iva
FBpp0183025	carboxylic ester hydrolase
FBpp0239297	gd
FBpp0267866	scavenger receptor class b member
FBpp0126781	larval serum protein 2
GA10144-PA	wd repeat containing protein
FBpp0198729	gm
FBpp0117698	actin protein 2 3 complex subunit
FBpp0076565	peptidase m14 carboxypeptidase a domain containing protein
GA11246-PA	f box domain containing protein
GA14608-PA	protein diaphanous x2
FBpp0216806	zad domain containing protein
FBpp0178182	msp domain containing protein
FBpp0225990	ubiquitin conjugating enzyme atg
FBpp0323261	male sterile 3 76ba
FBpp0232015	glucose 1 6 bisphosphate synthase
FBpp0120530	c3h1 type domain containing protein
FBpp0207046	inositol monophosphatase
FBpp0290428	upar ly domain containing protein
FBpp0167446	c3h1 type domain containing protein
FBpp0119547	ph domain containing protein
FBpp0207284	ferm and pdz domain containing protein
FBpp0317005	anion exchange protein
FBpp0157165	heparan sulfate 6 o sulfotransferase
FBpp0187691	dynein regulatory complex protein
FBpp0224339	secreted protein
FBpp0143678	gd
FBpp0131671	neuropeptide f receptor
FBpp0199163	zinc carboxypeptidase a
FBpp0311141	gem associated protein
FBpp0259134	telomere associated protein rif n terminal domain containing
FBpp0190490	nitric oxide synthase
FBpp0156575	neurogenic mastermind n terminal domain containing protein
FBpp0176030	peroxisomal membrane protein pmp
FBpp0226344	vesicle associated membrane protein
FBpp0242609	axonemal kda protein
FBpp0158169	irs type ptb domain containing protein
FBpp0205937	ph sensitive chloride channel 1
FBpp0153056	trafficking protein particle complex subunit
FBpp0081045	10 formyltetrahydrofolate dehydrogenase
FBpp0198163	protein s acyltransferase
FBpp0187191	adenosine deaminase
FBpp0202780	fibroblast growth factor
FBpp0116602	zp domain containing protein
FBpp0120963	serine threonine protein kinase ulk
FBpp0328161	phd type domain containing protein
FBpp0227519	enhancer of mrna decapping protein
FBpp0139379	unknown protein
FBpp0169460	serine threonine protein phosphatase
FBpp0174626	sister chromatid cohesion protein pds b
FBpp0270668	transcription factor capicua
FBpp0163023	transcription factor gaga
FBpp0317360	rna helicase
FBpp0239985	homeobox protein nkx x1
FBpp0117397	prkca binding protein
FBpp0136280	non specific serine threonine protein kinase
FBpp0188050	protein creg
FBpp0166083	nondiscriminating glutamyl trna synthetase ears mitochondrial
FBpp0312788	metabotropic glutamate receptor
FBpp0269597	mob kinase activator 4
FBpp0188732	at18493p
FBpp0217065	md lipid recognition domain containing protein
FBpp0232491	egf domain containing protein
FBpp0245735	band protein agap
FBpp0265712	peptidase s1 domain containing protein
FBpp0071381	serine threonine protein phosphatase
FBpp0136377	vitellogenin receptor
FBpp0263966	beta glucosyltransferase
FBpp0136749	mei
FBpp0270669	transcription factor capicua
FBpp0197808	microtubule associated protein
FBpp0320174	rave complex protein rav c terminal domain containing
FBpp0141367	long chain fatty acid coa ligase
FBpp0190388	protein lin
FBpp0231896	actin 57b
FBpp0199380	centriolar and ciliogenesis associated protein hyls
FBpp0255551	cell adhesion molecule x1
FBpp0271086	cg
FBpp0123783	actin protein 2 3 complex subunit 5
FBpp0266932	vacuolar protein sorting associated 13d
FBpp0255884	ferritin
FBpp0143291	gd
FBpp0231347	6 phosphogluconate dehydrogenase decarboxylating
FBpp0216584	krab zinc finger protein
FBpp0190303	mini chromosome maintenance complex binding protein
GA18806-PA	elongation of very long chain fatty acids protein
FBpp0196059	lipase member h a x1
FBpp0205844	eukaryotic translation initiation factor subunit e 2
FBpp0191193	glucose methanol choline oxidoreductase n terminal domain containing protein
FBpp0172402	caax prenyl protease
GA18938-PA	inhibitor t protein
FBpp0328132	fringe glycosyltransferase
FBpp0231308	dna topoisomerase
FBpp0245978	c2h2 type domain containing protein
FBpp0144798	apoptotic chromatin condensation inducer in the nucleus
FBpp0264221	cg
FBpp0258661	outer dynein arm docking complex subunit
FBpp0235470	gd
GA10867-PA	zinc finger mynd domain containing protein
FBpp0318365	protein turtle a x1
GA15342-PA	gpi ethanolamine phosphate transferase
FBpp0323122	protein tyrosine phosphatase
FBpp0317597	unknown protein
FBpp0200180	gm
FBpp0303373	glutamate receptor
FBpp0158741	meckel syndrome type protein
FBpp0247179	terminal uridylyltransferase
FBpp0323619	g protein coupled receptor kinase
FBpp0072071	xyloside xylosyltransferase
FBpp0172441	g protein coupled receptors family profile domain containing
FBpp0167084	proteasome subunit beta
FBpp0216720	mitogen activated protein kinase
FBpp0115271	proteasome associated protein ecm
FBpp0153641	duf 2127 domain containing protein
FBpp0170497	trichohyalin domain containing protein
FBpp0082045	glutathione s transferase
FBpp0165932	msp domain containing protein
FBpp0169830	transmembrane protein
FBpp0186786	integrator complex subunit
FBpp0119220	duf 4806 domain containing protein
FBpp0206938	rab family interacting protein 4b
FBpp0319152	zinc finger hit domain containing protein
GA10127-PA	2 hydroxyacylsphingosine 1 beta galactosyltransferase
FBpp0117876	alanine trna ligase
FBpp0179733	dnaj protein x2
FBpp0070335	protein smg
FBpp0166224	ring type e3 ubiquitin transferase
FBpp0168686	tetraspanin
GA20606-PA	zinc transporter zip
FBpp0143458	protein histidine n methyltransferase
FBpp0158306	complex lyr protein domain containing
FBpp0170582	histone h4
GA19769-PA	pyrimidodiazepine synthase
FBpp0073002	solute carrier family member c2
FBpp0322250	glucose methanol choline oxidoreductase n terminal domain containing protein
FBpp0202281	down syndrome cell adhesion molecule protein dscam
FBpp0322283	phd type domain containing protein
FBpp0079251	heterochromatin protein 1a
FBpp0221199	n acetylgalactosaminide beta galactosyltransferase
FBpp0226976	vm domain containing protein
FBpp0228608	ectopic p granules protein 5
FBpp0243002	g patch domain and kow motifs containing protein
FBpp0262790	mitogen activated protein kinase binding
FBpp0113764	meiotic recombination protein p22
FBpp0268583	man 6 2 mannosyltransferase
FBpp0115970	ring type domain containing protein
FBpp0270035	kazal domain containing protein
FBpp0270063	phosphatidylinositol 4 5 bisphosphate 3 kinase catalytic subunit delta
FBpp0114272	protein ltv
FBpp0173911	kazal domain containing protein
FBpp0312024	wd repeat containing protein
FBpp0271096	zinc finger protein x1
FBpp0181139	deoxyribodipyrimidine photo lyase
FBpp0158248	peptidase a1 domain containing protein
FBpp0116595	membrane bound transcription factor site protease
FBpp0214703	back domain containing protein
FBpp0141039	gg
FBpp0266192	glycerol kinase
FBpp0133697	c2h2 type domain containing protein
FBpp0252013	charged multivesicular body protein 4b
FBpp0256859	litaf domain containing protein
FBpp0236019	trichohyalin plectin homology domain containing protein
FBpp0195347	protein lethal 3 malignant blood neoplasm
FBpp0173927	poly a rna polymerase mitochondrial central palm domain containing protein
FBpp0428278	bcas wd domain containing protein
FBpp0076749	serine protease
FBpp0292155	regulator of mon ccz complex
FBpp0160622	potassium voltage gated channel protein shab
FBpp0114022	dna directed rna polymerase iii subunit rpc
FBpp0321194	biotin protein ligase
FBpp0243944	protein mon
FBpp0261494	regulatory associated protein of mtor
FBpp0262818	transcription factor sp x1
FBpp0248738	gustatory receptor
GA18427-PA	leucine rich repeat and domain containing protein
FBpp0314313	nose resistant to fluoxetine protein n terminal domain containing
FBpp0137597	t box transcription factor tbx
FBpp0142145	serpin domain containing protein
FBpp0319990	bed type domain containing protein
FBpp0142440	centaurin gamma 1a
FBpp0174801	la protein
FBpp0200613	microtubule associated protein futsch
FBpp0269592	fatty acyl coa reductase
FBpp0236356	titin
FBpp0207073	protein disulfide isomerase tmx
FBpp0141105	protein tincar
FBpp0170649	methylated diphthine methylhydrolase
FBpp0162777	nucleolar protein dao x2
FBpp0328140	chitin binding type domain containing protein
FBpp0241972	microtubule associated protein rp eb family member
FBpp0084938	acyl coa delta 11 desaturase
FBpp0166253	protein pet mitochondrial
FBpp0131502	histone h4
FBpp0192223	chitin binding type domain containing protein
FBpp0127194	major facilitator superfamily mfs profile domain containing protein
FBpp0182971	rap gtpase activating protein x1
FBpp0161372	regulation of nuclear pre mrna domain containing protein
FBpp0073791	glucose dehydrogenase [fad quinone]
FBpp0165703	peptidase s1 domain containing protein
FBpp0123771	n terminal ras gef domain containing protein
GA17179-PA	vesicular acetylcholine transporter
FBpp0158121	protein kinase domain containing
FBpp0080311	ig domain containing protein
FBpp0209777	glutathione s transferase
FBpp0231769	gh
FBpp0242422	udp glucuronosyltransferase
FBpp0170814	e3 ubiquitin protein ligase
FBpp0125490	gd
FBpp0236821	pgc
FBpp0140433	glutathione s transferase
FBpp0193965	transmembrane gtpase marf
GA20916-PA	kat regulatory nsl complex subunit
GA21548-PA	regulator of g protein signaling
FBpp0226903	c2h2 type domain containing protein
GA20824-PA	fat body protein
FBpp0121430	s adenosylmethionine mitochondrial carrier protein
FBpp0262713	dehydrogenase reductase sdr family member
FBpp0271200	death inducer obliterator
FBpp0258981	cytoplasmic phosphatidylinositol transfer protein
FBpp0120631	synaptic vesicle glycoprotein 2c
FBpp0305590	golgi associated plant pathogenesis protein
FBpp0241033	choline transporter protein
FBpp0145167	madf domain containing protein
FBpp0256531	scoloptoxin ssd x1
FBpp0254927	ras protein rab 39b
FBpp0122808	follicle cell protein 3c 1
FBpp0120905	cral trio domain containing protein
FBpp0139318	peptidase s1 domain containing protein
FBpp0157100	alcohol dehydrogenase n terminal domain containing protein
FBpp0142619	protein serine threonine kinase
FBpp0124094	interferon regulatory factor 2 binding protein & zinc finger domain containing
FBpp0122272	unknown protein
FBpp0135001	upf protein c2orf69 x1
FBpp0168032	rrm domain containing protein
FBpp0183790	gl
GA18389-PA	1 acyl sn glycerol phosphate acyltransferase gamma
FBpp0315212	malonate coa ligase acsf mitochondrial
FBpp0220401	ubiquitin conjugating enzyme e2 n
FBpp0328038	inactive dipeptidyl peptidase
FBpp0129493	protein dalmatian
FBpp0292310	chitin binding type domain containing protein
FBpp0153653	lysosomal aspartic protease
FBpp0183749	gl
FBpp0194806	glycine rich protein
FBpp0215176	saposin protein
FBpp0226049	ab hydrolase domain containing protein
FBpp0247883	dynein assembly factor axonemal
FBpp0243541	lipase domain containing protein
FBpp0316230	beta glucuronyltransferase
FBpp0204015	mitochondrial inner membrane protease subunit
FBpp0140215	non specific serine threonine protein kinase
FBpp0070402	crooked neck protein
FBpp0191141	g protein coupled receptors family profile domain containing
FBpp0183287	prolyl endopeptidase
FBpp0132974	ring type e3 ubiquitin transferase
FBpp0241074	serine trna synthetase protein slimp
FBpp0185159	mitochondrial transcription termination factor
FBpp0175512	protein clueless
FBpp0228065	protein toll
FBpp0141376	spermatogenesis associated protein
FBpp0175994	wd repeat containing protein
FBpp0144340	larval cuticle protein a2b
FBpp0186249	hflx type g domain containing protein
FBpp0189868	aladin
FBpp0247035	origin recognition complex subunit
FBpp0240657	irregular chiasm c roughest protein
FBpp0164535	trypsin
FBpp0154135	glutamate rich wd repeat containing protein
FBpp0113735	g protein coupled receptors family profile domain containing
FBpp0131274	3 oxoacyl [acyl carrier protein] reductase fabg
FBpp0138823	sentrin specific protease
FBpp0076994	odorant binding protein 19b
FBpp0169443	zinc finger bed domain containing protein
FBpp0184996	e3 ubiquitin protein ligase listerin
GA13956-PA	visual system homeobox
FBpp0162796	ecdysone induced protein 75b isoforms c d x2
FBpp0132556	serine rich adhesin for platelets x8
FBpp0164626	multivesicular body subunit 12a
FBpp0178138	cadherin domain containing protein
FBpp0178628	gl
FBpp0326862	drosophila melanogaster
FBpp0244846	non specific serine threonine protein kinase
FBpp0077022	t snare coiled coil homology domain containing protein
FBpp0261004	nipsnap domain containing protein
FBpp0264220	histidine rich glycoprotein
GA18616-PA	duf 4200 domain containing protein
FBpp0233316	ring type domain containing protein
FBpp0234597	rap guanine nucleotide exchange factor
FBpp0117905	c type lectin domain containing protein
FBpp0190482	fun domain containing protein
FBpp0314257	duf 4802 domain containing protein
FBpp0228534	flotillin x1
FBpp0138240	cytochrome p450 6v1
FBpp0188153	v type proton atpase subunit f
FBpp0202961	ig domain containing protein
FBpp0245835	zinc finger and scan domain containing protein x1
FBpp0122080	structural maintenance of chromosomes protein
FBpp0242919	importin n terminal domain containing protein
FBpp0133126	trna n 3 methylcytidine methyltransferase
FBpp0161861	folate gamma glutamyl hydrolase
FBpp0171146	peptidase m13 n terminal domain containing protein
FBpp0263604	pou domain protein
FBpp0264979	tcf fusion partner
FBpp0182125	keratin associated protein
FBpp0159950	lachesin x1
FBpp0142643	clip domain containing serine protease
FBpp0177316	gl
FBpp0168721	tbc domain family member
FBpp0134410	single domain containing protein
FBpp0221028	accessory gland specific peptide 26aa
FBpp0124568	early boundary activity protein
FBpp0140173	cytoplasmic trna 2 thiolation protein
FBpp0250076	serrano f
FBpp0158762	gh
FBpp0217290	g protein domain containing
FBpp0270509	marvel domain containing protein
FBpp0289846	gd
FBpp0152991	transmembrane protein x1
FBpp0122415	adf h domain containing protein
FBpp0114060	huntingtin interacting protein 1
FBpp0118925	60s ribosomal protein l13
FBpp0135649	mannose phosphate isomerase
FBpp0153371	clock interacting protein circadian
FBpp0075367	tir domain containing protein
FBpp0165952	protein trachealess x1
FBpp0173191	purine nucleoside phosphorylase
FBpp0186773	u4 u6 small nuclear ribonucleoprotein prp
FBpp0125146	protostome specific gef
FBpp0130421	arf effector protein c terminal domain containing
FBpp0221268	2 phosphoxylose phosphatase
FBpp0192358	osiris 17
FBpp0197383	ig domain containing protein
FBpp0201853	proteasome associated protein ecm
FBpp0145477	60s ribosomal protein l7 2
FBpp0204050	conserved oligomeric golgi complex subunit
FBpp0250199	cg
FBpp0073686	ubiquitin conjugating enzyme e2 n
FBpp0265914	carbohydrate sulfotransferase
FBpp0145474	udp glucuronosyltransferase
FBpp0244530	prolactin regulatory element binding protein
FBpp0177663	protein lifeguard
FBpp0263242	lipase
GA13108-PA	duf 4200 domain containing protein
FBpp0270648	atp binding cassette sub family a member
FBpp0172407	ig domain containing protein
FBpp0197021	odorant receptor
FBpp0179966	gl
FBpp0152979	programmed cell death protein dimerisation domain containing
FBpp0247683	cchc type zinc finger nucleic acid binding protein
FBpp0312484	tctex domain containing protein
GA18757-PA	threonine aspartase
FBpp0196923	extracellular sulfatase sulf
FBpp0264507	protein new glue
FBpp0200747	adenylate kinase
FBpp0262524	general transcriptional corepressor cyc
FBpp0268700	chitin binding type domain containing protein
FBpp0290948	biogenesis of lysosome organelles complex subunit
FBpp0198603	protein bicaudal d
FBpp0261540	back domain containing protein
FBpp0265860	capon protein x2
FBpp0195344	endocuticle structural glycoprotein sgabd
FBpp0135947	c2h2 type domain containing protein
FBpp0270943	sulfotransferase domain containing protein
FBpp0138772	marvel domain containing protein
FBpp0171897	gh
FBpp0087951	tctex domain containing protein 1
FBpp0193843	inorganic phosphate cotransporter
FBpp0207662	inosine uridine preferring nucleoside hydrolase domain containing protein
FBpp0120374	transcription initiation factor tfiid subunit
FBpp0193972	potassium voltage gated channel protein shaw
GA10630-PA	spliceosome associated protein cwc
FBpp0321519	trithorax group protein osa
FBpp0237731	large ribosomal subunit protein el
FBpp0249104	phospholipase a1
FBpp0233140	keratin type i cytoskeletal x2
FBpp0117956	buddy of hmr 2 a
FBpp0172058	transcriptional adapter
FBpp0071652	n 4 l asparaginase
FBpp0186851	glycerol phosphate phosphatase
FBpp0124158	protein suppressor of sable
FBpp0175837	heterogeneous nuclear ribonucleoprotein l
FBpp0120845	n acetyltransferase domain containing protein
FBpp0130518	sex regulated protein janus b
FBpp0176508	histone deacetylase complex subunit sap
FBpp0173373	histone h2b
GA19223-PA	low density lipoprotein receptor protein
FBpp0197760	ankyrin repeat domain containing protein
FBpp0198445	chemosensory protein a
FBpp0207840	cue domain containing protein
FBpp0193794	vesicle associated membrane protein b c
FBpp0249531	regulator of chromosome condensation
GA16526-PA	det and ddb associated protein
GA16108-PA	cyclin q
FBpp0261357	gd
FBpp0191006	ef hand calcium binding domain containing protein
FBpp0186250	fatty acid amide hydrolase
FBpp0191078	transferrin
GA10616-PA	eukaryotic translation initiation factor subunit g 1
FBpp0121788	hmg domain containing protein coiled coil
FBpp0124329	tnf receptor associated factor
GA21331-PA	nucleolar gtp binding protein
FBpp0326674	gd
FBpp0227993	palmitoyltransferase
FBpp0136936	apyrase x2
FBpp0177341	ubiquitin protease family profile domain containing protein
FBpp0248084	md lipid recognition domain containing protein
GA20476-PA	immunoglobulin domain containing protein oig
GA18699-PA	trafficking protein particle complex subunit
FBpp0226974	transmembrane protein 50a
