Orthogroup	arabidopsis	cardamine
OG0000307	AT2G16600.1, AT2G16600.2, AT2G21130.1, AT2G38730.1, AT3G22920.1, AT3G56070.1, AT3G56070.2, AT4G34870.1, AT4G38740.1	CARHR106810.1, CARHR111960.1, CARHR166010.2, CARHR243160.1, CARHR294440.1
OG0000313	AT1G03710.1, AT1G03710.2, AT3G05685.1, AT4G03565.1, AT4G03570.1, AT4G03590.1, AT5G17100.1, AT5G17110.1, AT5G17120.1, AT5G17150.1	CARHR079840.1, CARHR080560.1, CARHR080810.1, CARHR196080.1
OG0000315	AT2G40340.1, AT2G40340.2, AT2G40340.3, AT2G40340.4, AT2G40340.5, AT2G40340.6, AT2G40350.1, AT2G40350.2, AT3G11020.1, AT5G05410.1, AT5G05410.2	CARHR085600.1, CARHR135430.1, CARHR207830.1
OG0000318	AT2G36460.1, AT3G52930.1, AT4G26520.1, AT4G26530.1, AT4G26530.2, AT4G26530.3, AT5G03690.1, AT5G03690.2	CARHR130760.1, CARHR162810.1, CARHR162810.2, CARHR209610.1, CARHR234110.1, CARHR234110.2
OG0000329	AT1G29420.1, AT1G29460.1, AT1G29490.1, AT1G29500.1, AT1G29510.1	CARHR028760.1, CARHR028770.1, CARHR028800.1, CARHR028810.1, CARHR028820.1, CARHR028830.1, CARHR028850.1, CARHR028880.1, CARHR028900.1
OG0000334	AT1G47710.1, AT1G47710.2, AT1G62160.1, AT1G62170.1, AT1G62170.2, AT1G64030.1, AT2G14540.1, AT2G25240.1, AT2G26390.1, AT2G35580.1, AT3G45220.1	CARHR037320.1, CARHR129760.1, CARHR150380.1
OG0000336	AT1G03050.1, AT1G14910.1, AT1G14910.2, AT2G25430.1, AT4G02650.1, AT4G25940.1, AT4G32285.1, AT4G32285.2, AT5G57200.1	CARHR002390.1, CARHR116020.1, CARHR240180.1, CARHR240180.2, CARHR250950.1
OG0000340	AT2G03020.1, AT2G03020.2, AT4G16540.1, AT4G16540.4, AT4G16545.1, AT4G16550.1, AT4G16560.1	CARHR173730.1, CARHR173740.1, CARHR173760.1, CARHR174690.1, CARHR183270.1, CARHR223020.1, CARHR223030.1
OG0000348	AT1G15800.1, AT4G32030.1, AT5G25210.1, AT5G25210.2	CARHR016310.1, CARHR073910.1, CARHR116290.1, CARHR116290.2, CARHR116290.3, CARHR116340.1, CARHR188280.1, CARHR188280.2, CARHR239930.2, CARHR239930.3
OG0000359	AT4G05190.1, AT4G05190.2, AT4G21270.1, AT4G27180.1, AT4G27180.2, AT5G54670.1, AT5G54670.2, AT5G54670.3	CARHR227850.1, CARHR234830.1, CARHR234840.1, CARHR252360.1, CARHR267980.1, CARHR267980.2
OG0000361	AT4G02410.1, AT4G02420.1	CARHR113890.1, CARHR131810.1, CARHR163740.1, CARHR165610.1, CARHR250610.1, CARHR250620.1, CARHR250630.1, CARHR250660.1, CARHR250670.1, CARHR250670.2, CARHR250680.1, CARHR285030.1
OG0000379	AT3G09140.1, AT3G09140.2, AT5G01130.1, AT5G01140.1, AT5G37320.1, AT5G43240.1, AT5G43240.3, AT5G43240.4	CARHR083500.1, CARHR107060.1, CARHR107070.1, CARHR107080.1, CARHR107100.1
OG0000387	AT1G02730.1, AT2G25540.1, AT2G33100.1, AT2G33100.2, AT3G03050.1, AT4G32410.1, AT4G38190.1, AT5G16910.1	CARHR077060.1, CARHR077060.2, CARHR127100.1, CARHR196250.1, CARHR240330.1
OG0000394	AT1G23810.1, AT1G24060.1, AT1G24210.1, AT1G24220.1, AT1G24220.2, AT1G24230.1, AT1G24250.1, AT1G27240.1, AT1G27260.1, AT1G27270.1, AT1G27280.1	CARHR024590.1, CARHR024620.1
OG0000410	AT1G67160.1, AT2G05970.1, AT2G14500.1, AT2G33190.1, AT3G03726.1, AT3G03726.2, AT3G03730.1, AT3G22345.1, AT4G10820.1, AT4G12810.1, AT4G12820.1	CARHR061980.1, CARHR098240.1
OG0000411	AT1G26355.1, AT2G03680.1, AT2G03680.2, AT2G03680.3, AT4G23496.1, AT5G15600.1, AT5G15600.2	CARHR062110.1, CARHR076150.1, CARHR076150.2, CARHR146020.1, CARHR197720.1, CARHR230830.1
OG0000416	AT1G54290.1, AT4G27130.1, AT5G54760.1, AT5G54760.2, AT5G54760.3, AT5G54760.4, AT5G54940.1, AT5G54940.2, AT5G54940.3	CARHR044650.1, CARHR234780.1, CARHR268100.1, CARHR268280.1
OG0000417	AT1G11270.1, AT1G11270.2, AT1G11270.3, AT1G65425.1, AT2G43270.2, AT3G25550.1	CARHR008650.1, CARHR013200.1, CARHR102530.1, CARHR130500.1, CARHR134110.1, CARHR138350.1, CARHR138360.1
OG0000422	AT3G55200.1, AT3G55200.2, AT3G55200.3, AT3G55220.1, AT4G05420.1, AT4G05420.2, AT4G21100.1	CARHR086510.1, CARHR165220.1, CARHR227680.1, CARHR252160.1, CARHR289050.1, CARHR289060.1
OG0000427	AT1G28230.1, AT2G33750.1	CARHR024060.1, CARHR024080.1, CARHR027710.1, CARHR027710.2, CARHR027720.1, CARHR127770.1, CARHR127780.1, CARHR127790.1, CARHR127800.1, CARHR127810.1, CARHR127820.1
OG0000428	AT2G15050.3, AT2G38530.1, AT2G38540.1, AT3G51590.1, AT3G51600.1, AT5G59310.1, AT5G59320.1	CARHR105530.1, CARHR161180.1, CARHR161190.1, CARHR285670.1, CARHR285680.1, CARHR285690.1
OG0000453	AT1G14480.1, AT1G14480.2, AT1G14500.1, AT4G10720.1, AT4G10720.2, AT5G15500.1, AT5G15500.2, AT5G54610.1, AT5G54620.1	CARHR102590.1, CARHR197810.1, CARHR267920.1
OG0000460	AT1G22220.1, AT1G30200.1, AT1G30200.2, AT4G18380.1, AT4G18380.2, AT5G46170.1	CARHR022570.1, CARHR029230.1, CARHR071560.1, CARHR175620.1, CARHR225180.1, CARHR225180.2
OG0000469	AT5G51420.1, AT5G55320.1, AT5G55330.1, AT5G55340.1, AT5G55380.1	CARHR264140.1, CARHR268680.1, CARHR268680.2, CARHR268690.1, CARHR268700.1, CARHR268710.1, CARHR268720.1
OG0000476	AT3G05710.1, AT3G05710.2, AT4G02195.1	CARHR056200.1, CARHR080160.1, CARHR080160.2, CARHR186560.1, CARHR248830.1, CARHR250040.1, CARHR250410.1, CARHR250410.2, CARHR250410.3
OG0000488	AT2G17800.1, AT2G17800.2, AT3G51300.1, AT4G28950.1, AT4G35950.1, AT5G45970.1	CARHR108220.1, CARHR160880.1, CARHR175960.1, CARHR236700.1, CARHR243300.1, CARHR244350.1
OG0000490	AT1G19440.1, AT1G25450.1, AT2G26250.1, AT2G26640.1, AT3G52160.1, AT5G43760.1	CARHR026010.1, CARHR061310.1, CARHR115080.1, CARHR118530.1, CARHR161920.1, CARHR179720.1
OG0000501	AT1G79620.1, AT1G79620.2, AT1G79620.3, AT1G79620.4, AT1G79620.5, AT5G49750.1, AT5G49760.1, AT5G49770.1, AT5G49780.2, AT5G49780.3	CARHR073350.1, CARHR259030.1
OG0000504	AT1G08760.1, AT2G31920.1, AT3G14170.1, AT3G14170.2, AT3G19610.1, AT4G13370.1	CARHR008680.1, CARHR089030.1, CARHR089030.3, CARHR095060.1, CARHR125630.1, CARHR218940.1
OG0000510	AT1G45332.1, AT1G56070.1, AT1G56070.2, AT1G56070.3, AT2G45030.1, AT3G12915.2, AT3G22980.1, AT3G22980.2, AT3G22980.3	CARHR045790.1, CARHR098920.1, CARHR140280.1
OG0000517	AT3G04980.1, AT3G04980.2, AT3G04980.3, AT5G18750.1, AT5G27240.1, AT5G27240.2, AT5G27240.3	CARHR079290.1, CARHR079290.2, CARHR185870.1, CARHR194240.1, CARHR259100.2
OG0000522	AT2G39390.1, AT3G09500.1, AT3G55170.1, AT3G55170.2, AT3G55170.3, AT3G55170.4, AT3G55170.5, AT5G02610.1, AT5G02610.2	CARHR083900.1, CARHR134240.1, CARHR210740.1
OG0000525	AT1G01530.1, AT1G65360.1, AT4G36590.1	CARHR028570.1, CARHR116820.1, CARHR118860.1, CARHR121660.1, CARHR121670.1, CARHR121680.1, CARHR121720.1, CARHR244890.1, CARHR244920.1
OG0000533	AT1G30755.2, AT1G30755.3, AT1G30755.4, AT3G23160.1, AT5G04550.1, AT5G04550.2, AT5G51670.1, AT5G51670.2	CARHR099090.1, CARHR208720.1, CARHR264450.1, CARHR264510.1
OG0000559	AT1G10410.1, AT1G13970.1, AT1G59650.1, AT3G29180.1, AT3G29180.2, AT3G29180.3, AT5G39430.1	CARHR010550.1, CARHR014340.1, CARHR152340.1, CARHR262920.1
OG0000561	AT1G17270.1, AT1G17270.2, AT1G53770.1, AT1G53770.2, AT5G50420.1	CARHR017860.1, CARHR044080.1, CARHR044080.2, CARHR044080.3, CARHR257910.1, CARHR257920.1
OG0000582	AT1G02790.1, AT3G07850.1	CARHR002070.1, CARHR002080.1, CARHR002090.1, CARHR035210.1, CARHR082550.1, CARHR082560.1, CARHR082590.1, CARHR219870.1, CARHR258940.1
OG0000602	AT1G04270.2, AT1G33850.1, AT5G09500.1, AT5G43640.1, AT5G63070.1	CARHR003600.1, CARHR006290.1, CARHR203870.1, CARHR203880.1, CARHR203890.1, CARHR276880.1
OG0000604	AT2G25312.1, AT3G44428.1, AT3G45243.1, AT3G45245.1, AT3G45248.1, AT3G45252.1, AT3G45275.1, AT3G45285.1	CARHR150620.1, CARHR150660.1, CARHR179970.1
OG0000608	AT2G24630.1, AT2G24630.2, AT3G28180.1, AT4G07960.1, AT4G07960.2, AT4G31590.1	CARHR081980.1, CARHR117300.1, CARHR149800.1, CARHR239470.1, CARHR259210.1
OG0000623	AT3G08890.1, AT3G08890.2, AT5G01610.1, AT5G01610.2, AT5G37070.1	CARHR083220.1, CARHR083220.2, CARHR083220.3, CARHR132910.1, CARHR145700.1, CARHR211960.1
OG0000624	AT1G70020.1, AT1G70040.1, AT1G70120.1, AT3G60700.1, AT5G39330.1, AT5G39330.2	CARHR063130.1, CARHR063140.1, CARHR063150.1, CARHR215600.1, CARHR263080.1
OG0000638	AT5G24140.1, AT5G24150.1, AT5G24150.2, AT5G24160.1, AT5G24160.2	CARHR189360.1, CARHR189370.1, CARHR189380.1, CARHR189390.1, CARHR189410.1, CARHR189440.1
OG0000639	AT1G23240.1, AT1G23240.2, AT1G23240.3, AT1G23240.4, AT1G23250.1, AT1G23250.2, AT1G70670.1, AT1G70680.1, AT1G70680.2	CARHR063920.1, CARHR063940.1
OG0000643	AT1G13490.1, AT1G13490.2, AT1G13510.1, AT1G61600.1	CARHR013820.1, CARHR013840.1, CARHR013850.1, CARHR013860.1, CARHR013870.1, CARHR050780.1, CARHR050780.2
OG0000645	AT2G16770.1, AT2G16770.2, AT4G35040.1, AT4G35040.2, AT4G35040.3, AT4G35040.4	CARHR107020.1, CARHR107020.2, CARHR243320.1, CARHR243320.2, CARHR262040.1
OG0000656	AT1G52740.1, AT2G38810.1, AT2G38810.2, AT2G38810.3, AT2G38810.4, AT3G54560.1, AT3G54560.2	CARHR042880.1, CARHR090690.1, CARHR133520.1, CARHR164470.1
OG0000675	AT1G56100.2, AT1G56100.3, AT3G12880.1, AT4G00872.1, AT4G15750.1	CARHR043880.1, CARHR044320.1, CARHR045830.1, CARHR045840.1, CARHR045850.1, CARHR087400.1
OG0000719	AT1G45201.1, AT1G45201.2, AT1G56630.1, AT3G14360.1, AT5G42930.1, AT5G42930.2	CARHR036280.1, CARHR036330.1, CARHR089430.2, CARHR181160.1
OG0000737	AT1G09590.1, AT1G09690.1, AT1G57660.1, AT1G57860.1	CARHR009570.1, CARHR009660.1, CARHR054330.1, CARHR054330.2, CARHR054520.1, CARHR183900.1
OG0000742	AT1G01190.1, AT1G01190.2, AT2G46660.1, AT3G61880.1, AT3G61880.2, AT5G09970.1	CARHR001280.1, CARHR141990.1, CARHR172230.1, CARHR203360.1
OG0000743	AT1G64190.1, AT3G02360.1, AT3G02360.2, AT5G41670.1, AT5G41670.2, AT5G41670.3, AT5G41670.4	CARHR046750.1, CARHR076340.1, CARHR212890.1
OG0000751	AT1G26570.1, AT3G01010.1, AT3G29360.1, AT3G29360.2, AT5G15490.1, AT5G39320.1	CARHR025400.1, CARHR154070.1, CARHR197820.1, CARHR263090.1
OG0000764	AT1G12880.1, AT1G14860.1, AT3G12600.1, AT3G12600.2, AT3G26690.1, AT3G26690.2	CARHR013210.1, CARHR015400.1, CARHR147700.1, CARHR147710.1
OG0000770	AT3G42670.1, AT3G42670.2, AT3G42670.3, AT3G42670.4, AT5G20420.1	CARHR034960.1, CARHR153700.1, CARHR153740.1, CARHR192380.1, CARHR216540.1
OG0000773	AT4G31620.1, AT4G31630.1, AT4G31640.1, AT4G31680.1, AT4G31680.2, AT4G31685.1	CARHR239490.1, CARHR239500.1, CARHR239510.1, CARHR239560.1
OG0000774	AT1G02500.1, AT1G02500.2, AT3G17390.1, AT4G01850.1, AT4G01850.2	CARHR001810.1, CARHR092710.1, CARHR142440.1, CARHR142440.2, CARHR249810.1
OG0000777	AT1G12320.1, AT1G62840.1, AT2G45360.1, AT3G60780.1, AT5G62280.1	CARHR012620.1, CARHR048900.1, CARHR140570.1, CARHR171170.1, CARHR276060.1
OG0000779	AT2G04040.1, AT2G04050.1, AT2G04070.1, AT2G04080.1, AT2G04100.1	CARHR101980.1, CARHR101990.1, CARHR102000.1, CARHR102010.1, CARHR102020.1
OG0000781	AT1G20100.1, AT1G20100.2, AT1G75860.1, AT1G75860.2, AT1G76230.1	CARHR020580.1, CARHR020590.1, CARHR069410.1, CARHR069410.2, CARHR069790.1
OG0000786	AT1G50050.2, AT1G50060.1, AT3G19690.1, AT4G33710.1, AT5G26130.1	CARHR040150.1, CARHR105210.1, CARHR156580.1, CARHR241800.1, CARHR241810.1
OG0000811	AT3G25165.1, AT3G25170.1, AT3G25170.2, AT3G25170.3, AT4G13075.1	CARHR101490.1, CARHR101500.1, CARHR101510.1, CARHR105300.1, CARHR109540.1
OG0000815	AT1G65486.1, AT1G65486.3, AT1G65486.4, AT1G65490.1, AT1G65490.3, AT1G65500.1, AT1G65510.1, AT1G65510.2	CARHR057200.1, CARHR057220.1
OG0000843	AT2G14690.1, AT4G33810.2, AT4G33810.3, AT4G33810.4, AT4G33820.1, AT4G38650.1	CARHR146070.1, CARHR241900.1, CARHR241950.1, CARHR286410.1
OG0000852	AT2G29220.1, AT2G29250.1, AT4G28350.1	CARHR113880.1, CARHR122480.1, CARHR122490.1, CARHR236050.1, CARHR236060.1, CARHR252560.1, CARHR285280.1
OG0000879	AT2G34220.1, AT2G34230.1, AT2G34230.2, AT2G34240.1	CARHR038520.1, CARHR056690.1, CARHR056760.1, CARHR120610.1, CARHR128320.1, CARHR128330.1
OG0000882	AT1G32400.1, AT1G32400.2, AT1G32400.3, AT2G20230.1, AT4G28770.1, AT4G28770.2	CARHR031810.1, CARHR031820.1, CARHR110720.1, CARHR236560.1
OG0000905	AT5G20550.1, AT5G54000.2	CARHR192400.1, CARHR192430.1, CARHR192440.1, CARHR267160.1, CARHR267170.1, CARHR267180.1, CARHR267190.1, CARHR267200.1
OG0000939	AT3G01490.1, AT3G22750.1, AT4G14780.1, AT5G50000.1	CARHR075470.1, CARHR098600.1, CARHR221330.1, CARHR258690.1, CARHR291690.1
OG0000965	AT2G23400.1, AT2G23400.2, AT2G23410.1, AT5G58780.1, AT5G58782.1, AT5G58782.2, AT5G58784.1	CARHR272700.1, CARHR272710.1
OG0000969	AT5G07690.1, AT5G07700.1, AT5G07700.2, AT5G61420.1, AT5G61420.2	CARHR205450.1, CARHR205470.1, CARHR205480.1, CARHR275180.1
OG0000970	AT2G22810.1, AT3G49700.1, AT4G08040.1, AT5G65800.1	CARHR114120.1, CARHR158770.1, CARHR246160.1, CARHR259250.1, CARHR279800.1
OG0000995	AT1G72290.1, AT1G73325.1, AT1G73330.1	CARHR027960.1, CARHR065160.1, CARHR065170.1, CARHR065180.1, CARHR066380.1, CARHR165730.1
OG0001039	AT1G51913.1, AT1G51915.1, AT3G21351.1, AT3G21352.1	CARHR042050.1, CARHR042060.1, CARHR097280.1, CARHR097290.1, CARHR097300.1
OG0001046	AT1G51060.1, AT3G20670.1, AT4G27230.1, AT4G27230.2, AT5G54640.1	CARHR041080.1, CARHR096480.1, CARHR234870.1, CARHR267950.1
OG0001050	AT2G21770.1, AT4G18780.1, AT4G39350.1, AT5G17420.1, AT5G44030.1, AT5G64740.1	CARHR195790.1, CARHR247360.1, CARHR278730.1
OG0001064	AT1G48145.1, AT1G50745.1, AT1G50770.1, AT1G50790.1, AT1G50820.2	CARHR040850.1, CARHR040880.1, CARHR041470.1, CARHR041490.1
OG0001093	AT2G39400.1, AT3G55180.1, AT3G55190.1	CARHR018950.2, CARHR066510.2, CARHR134250.1, CARHR165200.1, CARHR165210.1, CARHR201570.2
OG0001095	AT1G18760.1, AT1G18780.1, AT2G29840.1, AT3G13228.1	CARHR019400.1, CARHR019410.1, CARHR019420.1, CARHR019430.1, CARHR189080.1
OG0001112	AT4G24140.1, AT5G17780.2, AT5G41900.1	CARHR046240.1, CARHR195390.1, CARHR195460.1, CARHR212660.1, CARHR231540.1, CARHR255900.1
OG0001117	AT2G39790.1, AT2G39795.1, AT2G46190.1, AT3G55605.1, AT5G02050.1, AT5G05990.1	CARHR134670.1, CARHR207220.1, CARHR211300.1
OG0001161	AT3G14970.1, AT3G15440.1	CARHR089910.1, CARHR089930.1, CARHR090490.1, CARHR121410.1, CARHR124620.1, CARHR208060.1, CARHR242320.1
OG0001244	AT2G21410.1, AT2G28520.1, AT4G39080.1	CARHR112310.1, CARHR112320.1, CARHR121530.1, CARHR247670.1, CARHR247670.2
OG0001266	AT2G20595.1, AT2G20597.1, AT2G20605.1, AT2G20618.1, AT2G20619.1, AT3G44718.1	CARHR111190.1, CARHR111200.1
OG0001275	AT3G14530.1, AT3G14550.1, AT3G14550.2, AT3G14550.3, AT3G29430.1, AT3G32040.1	CARHR089250.1, CARHR089250.2
OG0001278	AT2G41630.1, AT3G10330.1, AT3G29380.1, AT3G57370.1, AT4G10680.1	CARHR084810.1, CARHR084810.2, CARHR136720.1
OG0001285	AT3G45577.1, AT3G45590.1, AT3G45590.2, AT5G60230.1, AT5G60230.2	CARHR118650.1, CARHR150050.1, CARHR273910.1
OG0001290	AT2G41330.1, AT3G28850.1, AT3G57070.1, AT5G39865.1	CARHR136430.1, CARHR151840.1, CARHR167270.1, CARHR262320.1
OG0001302	AT4G12870.1, AT4G12890.1, AT4G12900.1, AT4G12960.1, AT4G12960.2	CARHR006770.1, CARHR218200.1, CARHR218220.1
OG0001320	AT1G64650.1, AT3G49310.1, AT4G27720.1	CARHR046260.1, CARHR056190.1, CARHR158250.1, CARHR189070.1, CARHR235440.1
OG0001321	AT3G27030.1, AT5G08391.1, AT5G63500.1	CARHR148250.1, CARHR157410.1, CARHR204660.1, CARHR213410.1, CARHR277350.1
OG0001329	AT1G63550.1, AT5G41280.1, AT5G41300.1	CARHR047750.1, CARHR047770.1, CARHR047780.1, CARHR047800.1, CARHR213040.1
OG0001334	AT2G22850.1, AT2G22850.2, AT3G49760.1, AT4G37730.1	CARHR114160.1, CARHR158850.1, CARHR246120.1, CARHR279860.1
OG0001356	AT3G02970.1, AT4G08950.1, AT5G09440.1, AT5G64260.1	CARHR077000.1, CARHR203960.1, CARHR259960.1, CARHR278170.1
OG0001359	AT1G24807.1, AT1G24909.1, AT1G25083.1, AT1G25155.1, AT1G25220.1, AT1G25220.2, AT5G57890.1	CARHR026340.1
OG0001396	AT1G09720.1, AT1G58215.1, AT2G22560.1, AT5G10500.1	CARHR009690.1, CARHR053800.1, CARHR113750.1, CARHR202790.1
OG0001454	AT1G50050.1, AT2G14580.1, AT2G14610.1, AT2G19970.1, AT2G19980.1, AT2G19990.1	CARHR110400.1, CARHR110410.1
OG0001460	AT1G09935.1, AT1G09935.2, AT2G17280.1, AT2G17280.2	CARHR009990.1, CARHR010010.1, CARHR010050.1, CARHR293670.1
OG0001470	AT1G68560.1, AT3G45940.1, AT5G11720.1, AT5G63840.1	CARHR061350.1, CARHR154320.1, CARHR201500.1, CARHR277740.1
OG0001527	AT5G07550.1, AT5G07550.2, AT5G61610.1	CARHR205580.1, CARHR205590.1, CARHR205600.1, CARHR205610.1, CARHR275400.1
OG0001535	AT1G34200.1, AT1G66130.1, AT4G09670.1	CARHR033710.1, CARHR058100.1, CARHR058100.2, CARHR260610.1, CARHR260620.1
OG0001633	AT1G22710.1, AT1G71880.1, AT1G71890.1	CARHR023080.1, CARHR064690.1, CARHR064700.1, CARHR260550.1
OG0001715	AT3G27830.1, AT3G27830.2, AT3G27840.1, AT3G27850.1	CARHR149300.1, CARHR149310.1, CARHR149320.1
OG0001772	AT1G65390.1, AT5G45070.1, AT5G45080.1, AT5G45090.1, AT5G45090.2	CARHR177540.1, CARHR177550.1
OG0001813	AT2G34210.1, AT2G34210.2, AT4G08350.1, AT4G08360.1	CARHR128310.1, CARHR259450.1, CARHR260290.1
OG0001814	AT4G10265.1, AT4G10270.1	CARHR032790.1, CARHR032800.1, CARHR256440.1, CARHR256510.1, CARHR256590.1
OG0001861	AT1G29330.1, AT3G25040.1	CARHR028650.1, CARHR028660.1, CARHR101320.1, CARHR218530.1, CARHR218540.1
OG0001873	AT2G25210.1, AT3G02190.1, AT4G31985.1	CARHR021550.1, CARHR076160.1, CARHR116410.1, CARHR239880.1
OG0001875	AT1G69940.1, AT5G07410.1, AT5G07420.1, AT5G07430.1	CARHR205720.1, CARHR205730.1, CARHR205740.1
OG0001936	AT1G02780.1, AT3G16780.1, AT4G02230.1, AT4G16030.1	CARHR002060.1, CARHR092030.1, CARHR250450.1
OG0001953	AT1G32920.1, AT1G32928.1, AT5G54165.1	CARHR032240.1, CARHR032250.1, CARHR256120.1, CARHR267370.1
OG0001957	AT3G15850.1, AT3G15870.1	CARHR090940.1, CARHR090980.1, CARHR090980.2, CARHR105860.1, CARHR105870.1
OG0001976	AT3G48930.1, AT4G30800.1, AT5G23740.1	CARHR118230.1, CARHR157730.1, CARHR189790.1, CARHR238640.1
OG0002004	AT1G64010.1	CARHR046930.1, CARHR046950.1, CARHR046970.1, CARHR051080.1, CARHR051080.2, CARHR051510.1
OG0002007	AT1G21140.1, AT1G76800.1, AT3G43630.1, AT3G43660.1	CARHR021590.1, CARHR070330.1, CARHR070340.1
OG0002047	AT5G06860.1, AT5G06870.1	CARHR206270.1, CARHR206280.1, CARHR206290.1, CARHR206300.1, CARHR206310.1
OG0002150	AT4G04220.1	CARHR078050.1, CARHR253180.1, CARHR253220.1, CARHR253250.1, CARHR253290.1, CARHR283600.1
OG0002171	AT4G39280.1, AT4G39280.2	CARHR112710.1, CARHR112730.1, CARHR112750.1, CARHR247410.1, CARHR265880.1
OG0002206	AT1G13245.1, AT1G67265.1, AT1G68825.1, AT1G68825.2, AT3G25717.1	CARHR013620.1
OG0002308	AT1G57943.1, AT1G57943.2, AT1G57980.1, AT1G57990.1	CARHR054240.1, CARHR054250.1
OG0002399	AT1G56650.1, AT1G66370.1, AT1G66390.1	CARHR054880.1, CARHR058270.1, CARHR058280.1
OG0002435	AT4G26466.1, AT5G56170.1	CARHR234040.1, CARHR269540.1, CARHR269550.1, CARHR269570.1
OG0002512	AT4G24330.1, AT5G49945.1	CARHR216310.1, CARHR231750.1, CARHR231760.1, CARHR258770.1
OG0002537	AT1G61090.1, AT1G61093.1, AT1G61095.1, AT1G61097.1	CARHR052250.1, CARHR052260.1
OG0002572	AT1G22410.1, AT4G39980.1	CARHR022760.1, CARHR071730.1, CARHR071740.1, CARHR246700.1
OG0002707	AT1G62000.1, AT1G62060.1, AT1G62080.1, AT1G62220.1, AT1G62225.1	CARHR049900.1
OG0002723	AT1G18540.1, AT1G74050.1, AT1G74060.1	CARHR019160.1, CARHR067200.1, CARHR067220.1
OG0002737	AT1G64195.1, AT1G69818.1, AT1G69825.1, AT1G69828.1	CARHR062890.1, CARHR062900.1
OG0002855	AT5G53600.1, AT5G53610.1, AT5G63225.1, AT5G63230.1	CARHR266750.1, CARHR277080.1
OG0003376	AT4G36270.1, AT4G36280.1, AT4G36290.1	CARHR244670.1, CARHR244680.1
OG0003520	AT5G28610.1, AT5G28630.1	CARHR185170.1, CARHR185180.1, CARHR185200.1
OG0003588	AT3G03520.1, AT3G03530.1	CARHR077530.1, CARHR077540.1, CARHR077550.1
