Annotee_Identifier	Human_Readable_Description
AT1G63160.1	replication factor c subunit
AT2G40780.2	unknown protein
AT1G08310.3	abhydrolase domain containing protein abhd
CARHR071300.2	protein jade
CARHR276340.1	u box domain containing protein
CARHR121500.1	lob domain containing protein
CARHR022120.2	urease accessory protein f
AT2G39200.1	mlo protein
CARHR043530.1	stress induced phosphoprotein
CARHR185950.1	sugar transporter erd
AT3G24710.1	nadph
CARHR190250.1	prefoldin subunit
CARHR277930.1	protein trichome birefringence
AT5G01730.10	protein scar
CARHR004730.1	cationic peroxidase
AT1G64625.2	transcription factor
CARHR040920.1	f box protein
CARHR090980.2	delta acyl lipid desaturase
CARHR187450.1	protein plastid movement impaired
CARHR070840.1	pentatricopeptide repeat containing protein mitochondrial
AT5G08410.2	ferredoxin thioredoxin reductase chloroplastic
AT2G37890.1	mitochondrial adenyl nucleotide antiporter slc25a24 a
AT3G04420.2	nac domain containing protein
AT3G59970.2	5 10 methylenetetrahydrofolate reductase
AT2G21660.2	glycine rich rna binding protein 2
AT3G47120.2	zinc finger and rna binding motif containing protein
CARHR026600.1	anther specific protein bcp
CARHR040610.1	udp glycosyltransferase
CARHR232040.2	zinc finger homeodomain protein
CARHR010140.1	ergosterol biosynthetic protein
ATMG01130.1	unknown protein
AT2G20142.1	disease resistance protein
AT5G16300.3	conserved oligomeric golgi complex subunit
CARHR126740.1	l type lectin domain containing receptor kinase 1
CARHR159680.1	protein enhanced pseudomonas susceptibility
AT4G30560.5	cyclic nucleotide gated ion channel
AT5G65160.1	stress induced phosphoprotein
AT5G40930.2	mitochondrial import receptor subunit tom
AT5G60640.1	protein disulfide isomerase
AT2G40000.1	nematode resistance protein hspro
AT5G01940.1	eukaryotic translation initiation factor subunit beta
AT5G59140.1	elongin c
CARHR159590.1	pollen receptor kinase
CARHR187900.2	rna binding protein ews
CARHR025690.2	[ribosomal protein n acetyltransferase
AT1G54220.1	dihydrolipoyllysine residue acetyltransferase component of pyruvate dehydrogenase complex
AT3G12350.1	f box protein
AT4G34200.1	d 3 phosphoglycerate dehydrogenase 1
CARHR234390.1	phosphatidate cytidylyltransferase 5
AT1G20780.1	u box domain containing protein
AT1G56130.2	cysteine rich receptor protein kinase
CARHR193440.4	mediator of rna polymerase ii transcription subunit 19a
CARHR279610.1	transcription factor bhlh
CARHR230590.1	cysteine rich receptor protein kinase
CARHR010190.1	hyperosmolality gated ca + permeable channel
AT5G64830.1	20s rrna accumulation protein
AT2G25480.1	protein wvd
CARHR132410.1	protein reticulata 1 chloroplastic
CARHR204220.1	nac domain containing protein
CARHR070760.1	zinc finger ccch domain containing protein
AT5G08310.1	unknown protein
CARHR088350.1	dirigent protein
CARHR193800.1	atp dependent s nad p h hydrate dehydratase
CARHR060710.1	blue light activated histidine kinase
CARHR066390.1	cytochrome p450 85a1
AT3G28610.1	aaa atpase
CARHR032140.1	glutaredoxin domain containing cysteine rich protein cg
CARHR009940.1	branchpoint bridging protein
AT5G56000.1	heat shock protein 90
CARHR215990.1	wd repeat containing protein msi
AT1G78770.1	anaphase promoting complex subunit
CARHR242350.1	ekc keops complex subunit cgi
CARHR146960.2	mitotic spindle checkpoint protein
AT1G01100.1	large ribosomal subunit protein p1
AT4G28030.2	gcn n acetyltransferase 7 chloroplastic
CARHR209550.1	e3 ubiquitin protein ligase rfwd
AT4G31060.1	ethylene responsive transcription factor erf
CARHR083470.1	protein defective in exine formation
AT4G22080.1	pectate lyase
CARHR065980.1	pyridoxal phosphate phosphatase phospho
AT1G62640.1	beta ketoacyl [acyl carrier protein] synthase iii
AT3G42155.1	endoglucanase
AT3G28956.12	dna directed rna polymerase iii subunit rpc
CARHR003810.1	protein unc
AT1G32070.1	[ribosomal protein bs ] alanine n acetyltransferase
AT1G32120.1	protein maintenance of meristems
AT4G29830.1	superkiller complex protein
AT1G27040.2	protein nrt ptr family
AT4G33355.1	non specific lipid transfer protein
AT1G70920.2	homeobox leucine zipper protein
AT5G23480.2	zinc finger ccch domain containing protein
CARHR232640.2	erad associated e3 ubiquitin protein ligase
AT2G19500.1	cytokinin dehydrogenase
AT2G39020.1	gcn n acetyltransferase
CARHR103050.1	protection of telomeres protein
AT5G56760.1	serine acetyltransferase 1
AT3G53060.1	skp protein
CARHR080920.1	casp protein 1d1
CARHR114520.1	serine threonine protein kinase sapk
CARHR152230.1	steroid 22s hydroxylase
CARHR133030.1	tom protein
CARHR128430.2	unknown protein
AT2G27150.4	xanthine dehydrogenase oxidase
CARHR019220.1	rhomboid protein 12
AT5G46470.1	disease resistance protein rrs
CARHR065960.2	beta galactosidase protein
AT5G13460.1	protein iq domain
AT1G18040.1	cyclin dependent kinase 1
AT3G06770.2	polygalacturonase adpg
CARHR197710.1	eukaryotic translation initiation factor subunit m
CARHR028690.1	anthranilate synthase 1
AT5G46270.5	disease resistance protein rps
CARHR195220.1	microfibrillar associated protein
CARHR012280.1	pyridoxal phosphate homeostasis protein
CARHR248670.4	acyl coa hydrolase
AT5G01780.4	alpha ketoglutarate dependent dioxygenase alkb
CARHR087380.1	nucleolar protein
CARHR099870.2	nipa protein
CARHR189690.3	pectin acetylesterase
CARHR054550.2	disease resistance protein
AT5G61400.1	pentatricopeptide repeat containing protein
AT2G27710.3	large ribosomal subunit protein p2
AT1G14340.1	binding partner of acd
AT2G42830.1	agamous mads box protein
AT2G31360.2	delta acyl lipid desaturase
AT2G03500.1	myb family transcription factor
AT5G45680.1	fk binding protein
AT5G61530.5	rho gtpase activating protein syde
AT2G45100.3	transcription factor
AT1G02530.2	abc transporter b family member
AT5G27410.1	d alanine aminotransferase
CARHR114770.2	protein spa
AT1G67890.2	serine threonine protein kinase sty
AT1G69250.1	nuclear transport factor
AT5G38600.3	zinc finger cchc domain containing protein
AT5G01890.1	proline rich receptor protein kinase perk
AT2G19990.1	pathogenesis leaf protein
CARHR175280.1	disease resistance protein rpp
AT1G70880.1	mlp protein
CARHR253350.2	mitogen activated protein kinase
CARHR293960.1	cellulose synthase protein
AT1G08730.2	unconventional myosin
AT5G61810.2	mitochondrial adenyl nucleotide antiporter slc25a24
AT5G42190.1	skp protein
AT2G41190.1	amino acid transporter
AT4G13700.1	fe 3+ 2+ purple acid phosphatase
CARHR248940.3	f box protein
AT3G03150.1	late embryogenesis abundant protein
CARHR269070.3	nad dependent protein deacetylase
AT3G13445.1	tata binding protein
AT5G22950.1	charged multivesicular body protein
AT1G78910.2	ribosomal large subunit pseudouridine synthase c
AT1G01490.3	heavy metal associated isoprenylated plant protein
AT1G49540.2	elongator complex protein
CARHR220730.1	crm domain containing factor chloroplastic
CARHR001030.1	protein trichome birefringence
AT1G80770.3	gtpase obg
CARHR061090.1	chaperone protein dnaj
CARHR106320.1	e3 ubiquitin protein ligase rnf
CARHR202680.1	flowering promoting factor protein
AT2G30900.1	protein trichome birefringence
AT1G25420.4	ist protein
AT4G12780.3	auxilin protein
AT4G28520.5	12s seed storage globulin
AT4G12730.1	fasciclin arabinogalactan protein
AT5G62575.1	succinate dehydrogenase subunit 7 mitochondrial
AT3G02290.4	associated e3 ubiquitin protein ligase
CARHR109610.1	protein altered phosphate starvation response
CARHR236780.1	26s proteasome regulatory subunit
AT2G25350.5	px domain containing protein
AT3G11620.2	lipid droplet associated hydrolase
CARHR217170.1	peptidyl prolyl cis trans isomerase b
AT1G10630.1	adp ribosylation factor 2
AT4G14350.1	serine threonine protein kinase
AT2G15530.3	e3 ubiquitin protein ligase
CARHR155160.1	udp glycosyltransferase
AT5G66900.1	disease resistance protein
AT2G42725.1	transcription elongation factor tfiis
CARHR004150.1	protein pollenless
AT3G12550.1	factor of dna methylation
CARHR211000.1	dol p glc 2 man 9 glcnac pp alpha glucosyltransferase
CARHR159560.1	patellin
AT3G21280.1	ubiquitin carboxyl terminal hydrolase
AT2G39590.1	small ribosomal subunit protein us
AT1G06040.1	b box zinc finger protein
AT5G03290.1	isocitrate dehydrogenase [nad] subunit 1 mitochondrial
CARHR196040.1	u6 snrna associated sm protein lsm
AT5G53950.1	nac domain containing protein 21 22
AT1G80000.2	protein mln
AT1G32100.1	bifunctional pinoresinol lariciresinol reductase
AT3G61070.3	peroxisomal membrane protein
CARHR004970.1	dna repair and recombination protein rad
CARHR192770.1	acyl protein thioesterase
AT3G25440.3	crm domain containing factor cfm chloroplastic mitochondrial
AT3G44400.1	disease resistance protein rps
AT5G43670.1	protein transport sec
AT2G35160.2	histone lysine n methyltransferase member suvh
AT3G50130.1	upf protein
CARHR030240.1	berberine bridge enzyme
AT4G19030.3	aquaporin nip
AT5G24360.2	inactive serine threonine protein kinase endoribonuclease ire
AT1G76380.2	histone acetyltransferase gcn
CARHR181510.1	leishmanolysin peptidase
CARHR034820.1	cytochrome p450
AT2G38010.3	neutral ceramidase
ATCG00640.1	large ribosomal subunit protein bl33c
CARHR267920.1	ankyrin repeat containing protein bda
CARHR008100.1	dna polymerase epsilon catalytic subunit a
CARHR071110.3	sister chromatid cohesion protein pds a
CARHR022060.1	swi snf complex subunit smarcc
CARHR067570.1	chaperone protein clpb
CARHR211820.1	e3 ubiquitin protein ligase apd
CARHR115930.1	f box protein
AT2G42330.3	septin and tuftelin interacting protein
CARHR209830.1	ras protein rab 8a
AT2G04020.1	gdsl esterase lipase
AT3G23770.1	glucan endo beta glucosidase
AT2G28580.2	upf protein
CARHR080770.1	glycosyltransferase protein
AT1G59630.1	jacalin lectin
CARHR138380.1	calmodulin protein
CARHR171330.1	cytochrome p450
AT3G52260.2	ribosomal large subunit pseudouridine synthase d
CARHR112260.3	kinesin protein kin chloroplastic
CARHR053940.2	basic leucine zipper
CARHR062050.1	protein yabby
AT3G02080.1	small ribosomal subunit protein es
AT2G17580.1	cca adding enzyme
CARHR271580.1	hydroxycinnamoyl coa 5 n hydroxycinnamoyltransferase
CARHR016210.1	zinc regulated gtpase metalloprotein activator
AT1G73680.2	prostaglandin g h synthase
CARHR063790.2	alanine aminotransferase 1
AT2G06420.1	unknown protein
AT5G23570.4	protein suppressor of gene silencing
AT3G08910.1	dnaj subfamily b member
CARHR047160.1	disease resistance protein rpp
AT5G23060.1	calcium sensing receptor chloroplastic
AT5G44620.1	cytochrome p450 monooxygenase
CARHR119730.1	transcription factor
CARHR217090.1	bifunctional th protein mitochondrial
AT1G50460.3	hexokinase protein
AT1G68580.3	duf 724 domain containing protein
AT3G05620.1	pectinesterase
AT4G23360.1	protein neprosin
AT5G51210.1	oleosin kda
AT3G17010.1	b3 domain containing protein
CARHR269910.1	fbd associated f box protein
AT1G14020.1	o fucosyltransferase
AT3G13800.1	anti pycsar protein apyc
CARHR000310.2	homeobox leucine zipper protein
AT2G19920.4	unknown protein
AT2G25170.3	chromodomain helicase dna binding protein
AT5G58540.1	inactive receptor serine threonine protein kinase
CARHR159410.1	bzip transcription factor
CARHR164840.4	vacuolar protein sorting associated
AT3G50970.1	dehydrin xero
AT5G56410.1	f box fbd protein
AT1G64630.1	serine threonine protein kinase wnk
CARHR003100.1	unknown protein
CARHR157450.1	tuliposide a converting enzyme amyloplastic
AT1G49260.1	mechanosensitive ion channel protein
AT1G19170.1	polygalacturonase
CARHR139800.1	sister chromatid cohesion protein dcc
CARHR090830.1	polygalacturonase
CARHR031790.1	f box fbd protein
AT5G63220.3	golgi to er traffic protein
AT2G27080.2	ndr hin protein
AT5G62130.2	gpi specific phospholipase a2 pgap
CARHR080030.1	epoxide hydrolase
CARHR290700.1	protein topless
AT5G50300.1	guanine hypoxanthine permease
CARHR284210.1	heme oxygenase 1 chloroplastic
CARHR181780.1	calcium uniporter protein 1 mitochondrial
CARHR049250.1	beta ketoacyl [acyl carrier protein] synthase iii
CARHR273370.1	protein soseki
AT5G17165.1	late embryogenesis abundant protein
AT1G76340.1	gdp transporter
CARHR024570.1	paired amphipathic helix protein sin
AT2G45580.2	cytochrome p450 monooxygenase
AT3G16400.1	jacalin lectin
AT2G02140.1	defensin 2
CARHR087990.2	brassinosteroid lrr receptor kinase bri
AT5G60670.1	large ribosomal subunit protein ul
AT2G37740.1	zinc finger protein
CARHR108610.1	protein shi sequence
CARHR000220.2	protein altered phosphate starvation response
CARHR261980.3	cbl interacting protein kinase
AT2G30700.1	unknown protein
CARHR006530.1	proline rich receptor protein kinase perk
CARHR141140.1	voltage dependent chloride channel 1 chloroplastic
AT5G60460.1	protein transport sec subunit beta
CARHR252830.1	calcium dependent protein kinase
AT5G46025.1	ras protein rab 11a
AT5G07690.1	myb transcription factor
AT3G18700.1	phospholipid transporting atpase
AT3G60530.1	protein gata transcription factor
CARHR265810.1	membrane associated kinase regulator
AT3G59570.3	tbc domain family member
AT5G48650.1	nuclear transport factor
AT4G36020.3	cold shock protein cspe
AT5G45050.1	disease resistance protein rps
CARHR185760.1	pentatricopeptide repeat containing protein
AT5G43300.2	glycerophosphocholine phosphodiesterase
AT5G65420.2	cyclin d1 1
CARHR019010.2	kinesin protein kin
AT4G33120.1	s n methyltransferase
AT3G28080.8	wat protein
CARHR158930.1	single myb histone
CARHR115390.3	tryptophan trna ligase
AT4G14220.1	e3 ubiquitin protein ligase
AT3G27390.1	unknown protein
AT3G52115.1	protein gamma response
AT2G36480.2	polyadenylation and cleavage factor
CARHR089590.1	cytochrome p450
CARHR102820.1	unknown protein
AT5G47810.1	atp dependent 6 phosphofructokinase 4
CARHR067290.1	rhomboid protein 12
AT1G51160.3	trafficking protein particle complex subunit
CARHR069960.1	outer envelope pore protein 21 chloroplastic
CARHR108880.1	anaphase promoting complex subunit
CARHR122630.1	tropinone reductase
CARHR283010.1	nadh quinone oxidoreductase subunit k
AT3G32940.1	kh domain containing rna binding signal transduction associated protein
CARHR280940.1	succinate dehydrogenase [ubiquinone] flavoprotein subunit 1 mitochondrial
CARHR209060.1	metacaspase
AT3G52990.1	pyruvate kinase 1
CARHR050050.1	dna repair protein rad
AT3G61760.3	dynamin protein
CARHR140420.1	golgi snap receptor complex member
CARHR003400.2	unknown protein
AT2G30710.1	tbc domain family member
CARHR167840.1	wall associated receptor kinase
AT1G10570.2	sentrin specific protease
AT1G07780.7	n 5 phosphoribosyl anthranilate isomerase 1
CARHR181760.1	proteasome subunit alpha type
AT2G38060.1	transport protein 1 chloroplastic
CARHR226340.2	iron sulfur cluster carrier protein
AT5G24310.1	protein abil
CARHR038440.1	asi immunoprecipitated protein
AT5G03300.3	adenosine kinase
CARHR162420.1	beta fructofuranosidase insoluble isoenzyme
AT3G59410.4	eukaryotic translation initiation factor 2 alpha kinase
AT4G12800.2	photosystem i reaction center subunit xi
CARHR022750.1	udp glycosyltransferase
CARHR259990.3	f box protein
AT4G14690.1	high molecular mass early light inducible protein hv chloroplastic
AT5G47210.1	rgg repeats nuclear rna binding protein
CARHR139380.1	protein neprosin
CARHR040330.1	pentatricopeptide repeat containing protein
CARHR195450.1	unknown protein
AT5G23550.1	vesicle transport protein
AT2G25690.2	fcs zinc finger
CARHR053570.1	associated f box protein
CARHR165750.1	s protein
CARHR062060.1	udp arabinopyranose mutase
AT3G59070.1	cytochrome b561 and domon domain containing protein
CARHR030180.1	berberine bridge enzyme
AT5G26760.2	unknown protein
AT4G16760.2	acyl coenzyme a oxidase
CARHR237030.1	defensin protein
AT2G36080.4	erf and b3 domain containing transcription
AT5G45420.2	dnaj subfamily c member
AT1G16560.5	gpi specific phospholipase a2 pgap
CARHR278640.1	protein ida
AT1G50320.1	thioredoxin chloroplastic
AT5G53050.2	unknown protein
CARHR258220.1	f box protein
CARHR206820.4	exportin
CARHR015810.2	protein mln
CARHR058380.1	calmodulin 11 16
CARHR224910.1	two pore potassium channel
AT5G65660.1	unknown protein
AT2G43840.1	udp glucosyltransferase
AT1G37140.2	protein terminal ear
CARHR208500.1	pentatricopeptide repeat containing protein
CARHR223930.2	protein root primordium defective
AT3G25090.1	f box protein
AT5G48580.1	fk binding protein
CARHR017170.3	histone acetyltransferase hac
AT2G31820.1	ankyrin repeat containing protein
AT2G32450.1	unknown protein
CARHR029800.2	atp binding cassette sub family c member
CARHR171990.1	phospholipase a1 plip chloroplastic
CARHR171930.1	exosome complex component rrp
AT1G71300.2	vacuolar protein sorting associated
CARHR180430.1	glycerophosphodiester phosphodiesterase gdpd
AT1G67856.1	ring finger protein
AT2G23230.2	inactive terpenoid synthase 20
AT1G14685.3	protein basic pentacysteine
AT2G20350.1	ethylene responsive transcription factor
AT3G06180.2	unknown protein
CARHR195190.1	disease resistance protein
CARHR283720.3	disease resistance protein rpp
CARHR045560.1	e3 ubiquitin protein ligase
AT5G44030.2	cellulose synthase a catalytic subunit [udp forming]
AT2G34520.1	small ribosomal subunit protein
AT5G44490.1	f box fbd protein
AT1G01390.1	udp glycosyltransferase
CARHR109320.1	diacylglycerol kinase
CARHR126070.1	zinc transporter 4
CARHR130780.2	pre mrna cleavage complex protein pcf
CARHR006330.3	protein jason
AT4G11960.1	pgr protein chloroplastic
AT1G34040.2	tryptophan aminotransferase protein
AT5G08000.2	plasmodesmata callose binding protein
CARHR136230.2	calcium dependent protein kinase
AT3G52000.1	serine carboxypeptidase
AT2G27720.1	large ribosomal subunit protein
AT1G73880.1	udp glycosyltransferase
CARHR158450.1	f box fbd protein
CARHR182140.1	serine threonine protein phosphatase regulatory subunit 3
AT4G00240.1	phospholipase d alpha
CARHR293520.4	cytoplasmic serine threonine protein kinase
AT1G56680.1	basic endochitinase
AT3G07550.1	binding f box protein
CARHR201950.1	indole pyruvate monooxygenase yucca
AT5G38430.1	ribulose bisphosphate carboxylase small subunit chloroplastic
AT3G52780.1	fe 3+ 2+ purple acid phosphatase
AT5G63960.1	dna polymerase catalytic subunit
AT1G10040.1	lipid droplet phospholipase
CARHR181840.4	cytochrome p450
CARHR016450.1	sister chromatid cohesion protein pds
CARHR095130.4	pre mrna processing protein
CARHR151720.1	cytochrome p450
CARHR239550.2	ubiquitin carboxyl terminal hydrolase
AT2G20440.1	tbc domain family member
AT5G11180.1	glutamate receptor
CARHR225270.1	adenylosuccinate lyase
CARHR148360.1	small ribosomal subunit protein bs21c
CARHR075900.1	polypyrimidine tract binding protein
AT1G36150.1	non specific lipid transfer protein gpi anchored
AT2G47910.2	protein chlororespiratory reduction 6 chloroplastic
CARHR116360.1	cysteine trna ligase 1
CARHR102860.3	cytochrome b561 and domon domain containing protein
CARHR074010.1	protein topless
CARHR202250.1	trafficking protein particle complex ii specific subunit
AT3G06560.1	nuclear poly a polymerase
CARHR213680.2	mediator of rna polymerase ii transcription subunit
AT5G52970.2	thylakoid lumenal kda protein 2 chloroplastic
AT3G59480.1	fructokinase 1
AT4G05000.2	vacuolar protein sorting associated
AT5G17870.2	large ribosomal subunit protein cl
CARHR054290.1	shaggy protein kinase beta
CARHR292490.1	myb transcription factor
CARHR168890.1	sphingosine phosphate phosphatase
AT2G37400.1	protein slow green 1 chloroplastic
AT2G46830.1	protein reveille
AT1G23100.1	co chaperonin groes
AT1G03980.4	glutathione gamma glutamylcysteinyltransferase
AT5G63400.1	adenylate kinase
AT4G25390.2	cysteine rich receptor protein kinase
AT5G03500.3	mediator of rna polymerase ii transcription subunit
AT4G36080.1	serine threonine protein kinase
AT5G06950.5	bzip transcription factor tga
CARHR210500.6	pentatricopeptide repeat containing protein chloroplastic
CARHR234900.1	indole acetic acid amido synthetase gh
CARHR265040.2	protein cofactor assembly of complex c subunit b ccb chloroplastic
CARHR009350.1	gdsl esterase lipase
AT4G34310.2	protein serac
CARHR281220.2	unknown protein
AT1G05675.1	limonoid udp glucosyltransferase
CARHR162550.1	f box fbd protein
AT4G20080.1	multiple c2 domain and transmembrane region protein
AT1G08320.3	bzip transcription factor tga
AT5G61510.2	highly reducing polyketide synthase
CARHR122430.1	laccase
CARHR133590.1	proteinase inhibitor i
AT1G67700.5	protein hhl chloroplastic
CARHR018330.1	serine threonine protein phosphatase 2a kda regulatory subunit b
AT2G35860.1	fasciclin arabinogalactan protein
AT2G24080.1	f box protein
AT2G02500.1	2 c methyl d erythritol 4 phosphate cytidylyltransferase
AT1G09157.1	protein dmp
CARHR282080.1	ribulose bisphosphate carboxylase large chain
AT1G78830.1	ep glycoprotein
AT3G60210.1	kda chaperonin 1
AT5G20270.1	membrane progestin receptor
CARHR107150.1	pentatricopeptide repeat containing protein
CARHR074770.7	facilitated trehalose transporter tret
AT4G28706.1	bifunctional ribokinase
AT3G49730.1	pentatricopeptide repeat containing protein
AT1G77410.3	beta galactosidase
AT3G11210.1	gdsl esterase lipase
CARHR235960.1	expansin
CARHR173860.1	protein transport
AT5G22000.2	e3 ubiquitin protein ligase
CARHR022830.1	transcription factor bhlh
AT2G24570.1	protein wrky
CARHR026850.3	mads box transcription factor
AT4G34840.2	5 methylthioadenosine nucleosidase
AT1G14240.3	ectonucleoside triphosphate diphosphohydrolase
AT3G25585.2	choline ethanolaminephosphotransferase
CARHR286150.1	f box protein
AT1G77290.3	glutathione s transferase
CARHR221380.1	pentatricopeptide repeat containing protein
CARHR074620.3	glyoxylate hydroxypyruvate reductase b
AT2G26910.1	abc transporter g family member
CARHR173520.1	glycosyltransferase domain containing protein
CARHR031590.1	miorex complex component
CARHR101290.2	chromatin modification protein eaf
CARHR016500.2	magnesium transporter mrs
AT3G08880.1	kinetochore protein spc
AT2G23190.1	cytochrome p450
AT5G42540.1	5 3 exoribonuclease
AT1G33110.1	protein detoxification
AT4G31680.2	b3 domain containing protein rem
CARHR127210.1	chaperonin groel
CARHR129550.1	ribose phosphate pyrophosphokinase 1
CARHR160790.1	auxin responsive protein saur
CARHR273620.2	protein gametophyte defective
AT5G23770.2	duf 724 domain containing protein
CARHR004220.2	tbc domain family member
CARHR074790.1	glycerol kinase
AT1G14380.5	protein iq domain
AT3G13810.1	protein indeterminate domain 4 chloroplastic
CARHR238080.1	transcription factor bhlh
AT3G17180.2	serine carboxypeptidase
AT4G12460.2	oxysterol binding protein
AT2G43130.1	ras protein rab 11a
AT2G21430.1	cysteine proteinase
CARHR037370.1	nucleolin
AT2G36950.1	heavy metal associated isoprenylated plant protein
CARHR160370.1	cold regulated plasma membrane protein
AT5G62290.2	methylosome subunit picln
CARHR200120.1	indole acetic acid amido synthetase gh
CARHR184340.2	kinesin protein kin
AT1G76070.1	unknown protein
AT1G56330.1	small copii coat gtpase sar
AT5G03910.1	atp dependent lipid a core flippase
AT2G20180.1	bhlh transcription factor
CARHR000250.2	ccr not transcription complex subunit
CARHR074520.2	regulator of telomere elongation helicase
CARHR252150.1	glucan endo beta glucosidase
AT3G10730.1	sun domain containing protein
AT3G33530.4	wd repeat containing protein
CARHR262500.1	coupled amino acid transporter protein
CARHR287740.3	aldehyde dehydrogenase 1a1
AT4G18370.1	serine protease
AT5G01100.1	o fucosyltransferase
AT3G29630.1	udp glycosyltransferase
AT5G45280.1	pectin acetylesterase
CARHR008230.1	transmembrane superfamily member
AT4G15430.2	hyperosmolality gated ca + permeable channel
AT1G79580.2	nac domain containing protein
AT5G08640.2	flavonol synthase flavanone 3 hydroxylase
AT4G38430.1	rop guanine nucleotide exchange factor
CARHR035410.1	transcriptional corepressor seuss
CARHR082520.2	heterogeneous nuclear ribonucleoprotein
AT1G23160.1	indole acetic acid amido synthetase gh
AT2G47860.6	btb poz domain containing protein
CARHR263190.1	alpha beta hydrolase domain containing protein vte
CARHR060250.1	amino acid transporter
CARHR095790.2	u box domain containing protein
AT3G59730.2	l type lectin domain containing receptor kinase 3
CARHR267980.2	kinesin protein kin
AT1G16190.2	uv excision repair protein rad
CARHR188300.1	cytochrome p450
CARHR074050.1	protein nuclear fusion defective
AT3G44630.4	disease resistance protein
AT1G52410.1	tsk associating protein
CARHR224340.1	pentatricopeptide repeat containing protein
CARHR233130.1	deubiquitinase desi
CARHR143640.2	cytochrome b c1 complex subunit 6 1
CARHR179150.1	11s globulin seed storage protein
CARHR110900.1	xyloglucan galactosyltransferase
AT3G02750.1	protein phosphatase 2c
CARHR114820.1	hydroxyproline o galactosyltransferase hpgt
AT4G28490.1	leucine rich repeat receptor serine threonine protein kinase
AT3G30725.1	protein glutamine dumper
AT2G19670.1	protein arginine n methyltransferase 1
AT5G05560.3	anaphase promoting complex subunit
CARHR005750.1	elongation factor
AT2G17050.1	disease resistance protein rps
AT5G16570.1	glutamine synthetase cytosolic isozyme
AT5G03830.3	protein bcp
AT5G51800.1	crinkler effector protein
AT5G14740.8	beta carbonic anhydrase 1
AT1G17460.2	telomere repeat binding protein
AT1G47800.1	f box protein
CARHR019110.2	plant cysteine oxidase
CARHR023200.1	cytochrome c 1
AT3G52980.1	zinc finger ccch domain containing protein
AT1G10630.2	adp ribosylation factor 2
AT1G20080.5	extended synaptotagmin
AT1G26150.1	proline rich receptor protein kinase perk
CARHR092030.1	large ribosomal subunit protein el
CARHR094600.1	autophagy protein
CARHR005580.1	glucose induced degradation protein
CARHR129750.1	serpin
CARHR103820.2	protein elf
CARHR185320.1	sec independent protein translocase tata
CARHR199950.2	adp atp carrier protein 1
CARHR281730.1	protein grip
AT3G16520.3	udp glycosyltransferase
CARHR028140.1	udp galactose fucoside alpha galactosyltransferase
AT3G24180.2	non lysosomal glucosylceramidase
AT2G30160.1	mitochondrial glutathione transporter slc25a39
CARHR181430.1	splicing factor u2af kda subunit
AT5G56530.1	protein neprosin
AT1G73180.2	eukaryotic translation initiation factor 2a
AT5G20390.1	glucan endo beta glucosidase basic
CARHR118630.2	nuclear pore complex protein nup
AT5G24750.1	o mycaminosyltylonolide 6 deoxyallosyltransferase
AT5G04250.1	ovarian tumor domain containing deubiquitinating enzyme
AT1G19920.1	sulfate adenylyltransferase
CARHR189800.1	e3 ubiquitin protein ligase cop
AT1G01680.1	sam and u box domain containing protein
CARHR183320.1	cyclin h
AT1G70860.1	mlp protein
AT3G18500.4	ccr not complex 3 5 subunit
AT1G33940.1	serine threonine protein kinase runkel
AT1G64400.1	long chain fatty acid coa ligase
AT5G19250.1	unknown protein
AT3G29290.2	pentatricopeptide repeat containing protein
AT1G55110.3	protein indeterminate domain 4 chloroplastic
AT2G43460.1	large ribosomal subunit protein el
AT4G26010.1	anionic peroxidase
AT4G30250.1	aaa atpase
AT3G04820.1	pseudouridylate synthase
AT5G04410.1	nac domain containing protein
AT2G32530.1	cellulose synthase a catalytic subunit [udp forming]
CARHR169460.1	amine oxidase [flavin containing] b
AT1G50420.1	gras family protein ram
CARHR030170.1	berberine bridge enzyme
AT3G12550.5	factor of dna methylation
AT4G23430.4	short chain dehydrogenase 32 chloroplastic
CARHR210820.1	short chain dehydrogenase reductase
CARHR176780.1	disease resistance protein rps
AT4G32420.6	kda peptidyl prolyl cis trans isomerase
AT3G28956.11	dna directed rna polymerase iii subunit rpc
CARHR171780.1	bifunctional l 3 cyanoalanine synthase cysteine 1
AT1G49670.2	3 oxoacyl [acyl carrier protein] reductase fabg
AT1G49800.1	precursor of cep
AT2G35900.1	fra a 1 associated protein
CARHR039620.1	calcium dependent protein kinase
CARHR187290.1	acetoin utilization protein acuc
AT4G02680.1	eto protein
CARHR062720.1	heme oxygenase 1 chloroplastic
AT4G26690.1	glycerophosphodiester phosphodiesterase gdpdl
AT2G21940.7	shikimate kinase 1
AT4G29750.2	crm domain containing factor chloroplastic
CARHR240310.1	solute carrier family member c2
CARHR247510.1	glucose phosphate adenylyltransferase 1
CARHR074610.4	la protein
AT1G29990.1	prefoldin subunit
AT3G06160.1	b3 domain containing protein
CARHR291600.2	pentatricopeptide repeat containing protein
CARHR207490.1	wuschel homeobox
AT2G34280.1	f box protein
AT5G60770.1	affinity nitrate transporter
AT3G50845.1	cytosolic iron sulfur assembly component
CARHR128340.1	protein transport sec subunit alpha
AT3G21880.1	zinc finger protein constans
CARHR166170.1	ferritin chloroplastic
AT3G44480.5	disease resistance protein
AT3G57200.1	glycosyltransferase
AT3G22020.1	cysteine rich repeat secretory protein
CARHR049650.1	subtilisin protease sbt
