Orthogroup	A.thaliana	C.hirsuta
cluster_289	AT5G10750.1, AT5G24990.1, AT5G25010.1, AT5G25020.1, AT5G24970.2, AT4G31750.1, AT5G10740.1, AT5G24940.1	CARHR188500.1, CARHR202580.1, CARHR239650.1, CARHR202560.1, 487909, 489356, 942058, CARHR150640.1, CARHR188460.1, CARHR188450.1, CARHR188480.1, 487908, 489354, 491566
cluster_29	AT1G55360.1, AT3G13510.1, AT5G56530.1, AT2G44250.1, AT2G44210.2, AT2G44220.1, AT2G44240.1, AT1G10750.1, AT1G23340.1, AT1G70550.1, AT5G18460.1, AT5G50150.1, AT2G17750.1, AT2G19360.1	474597, CARHR088180.1, 488725, CARHR139370.1, 495743, CARHR270180.1, 929096, 935354, CARHR108090.1, CARHR108080.1, CARHR108120.1, CARHR078670.1, CARHR109810.1, CARHR139380.1, 887561, CARHR139400.1, 932787, 322090, 359589, 483545, 483548, CARHR045020.1, CARHR139410.1, 935351, 472593, 908648, 919880, 949533, CARHR139420.1, CARHR010970.1, CARHR023790.1, CARHR063760.1, CARHR194560.1, CARHR258490.1, 314177, 900074, 906449, 906606, 950014
cluster_292	AT2G22190.1, AT4G39770.1, AT5G65140.1, AT1G35910.1, AT1G22210.1, AT1G78090.1, AT5G10100.1	CARHR034650.1, CARHR071550.1, CARHR203190.1, 350217, 481085, 888198, 951353, CARHR113360.1, CARHR246940.1, CARHR279050.1, 313108, 476976, 922759, CARHR022560.1
cluster_296	AT3G57680.1, AT1G31800.1, AT2G36410.1, AT3G09980.1, AT3G52920.1, AT5G03660.1	CARHR084490.1, CARHR130710.1, CARHR162800.1, CARHR209640.1, CARHR167880.1, 324269, 473366, CARHR031100.1, 323836, 478325, 482617, 487145
cluster_30	AT3G48350.1, AT4G35350.1, AT5G45890.1, AT4G11320.1, AT3G19390.1, AT3G19400.1, AT2G22160.1, AT3G43960.1, AT4G11310.1, AT5G50260.1, AT4G23520.1, AT5G43060.1, AT3G48340.1, AT1G09850.1, AT4G36880.1, AT1G20850.1, AT1G47128.1	927037, CARHR243670.1, CARHR255260.1, CARHR176070.1, CARHR157130.1, CARHR055660.1, 942985, 494390, CARHR021280.1, CARHR036680.1, 944138, CARHR094790.1, 909265, CARHR094800.1, 329301, 489965, CARHR180940.1, CARHR230900.1, CARHR255270.1, 347926, CARHR157110.1, 473866, CARHR157120.1, 485194, CARHR258350.1, 471096, 491113, 490895, CARHR245630.1, CARHR009870.1, CARHR009880.1, 318695, 472321, 479457, 484828, 495086, 897146, 948904
cluster_300	AT4G29220.1, AT4G32840.1, AT5G56630.1, AT5G61580.1, AT4G26270.1, AT2G22480.1	495754, 496324, 945103, CARHR236970.1, CARHR240830.1, CARHR240840.1, CARHR270320.1, 491421, 492186, CARHR153300.1, CARHR236980.1, 481109, 939272, CARHR113680.1, CARHR233820.1, CARHR275370.1
cluster_302	AT2G47160.2, AT3G06450.1, AT4G32510.1, AT5G25430.1, AT1G15460.1, AT1G74810.1, AT3G62270.1	477950, 483891, CARHR188010.1, 326812, CARHR172600.1, CARHR142550.1, 486733, CARHR171320.1, CARHR080990.1, CARHR172610.1, 316416, 334832, 888858, CARHR016010.1, CARHR240430.1
cluster_303	AT5G28030.2, AT3G04920.1, AT5G28060.1, AT3G04940.1, AT3G22460.1, AT4G14880.1, AT5G28020.1	CARHR098370.1, CARHR185640.1, CARHR185650.1, CARHR185660.1, CARHR221460.1, 477767, 942428, CARHR079200.1, CARHR185000.1, CARHR184970.1, 489636, 928063, 949380, CARHR079220.1, 318977, 489625, 493405
cluster_304	AT2G41210.1, AT3G07960.1, AT1G21980.1, AT1G77740.1, AT2G26420.1, AT3G56960.1	CARHR022340.1, CARHR071250.1, CARHR084430.1, CARHR118370.1, 912037, 887765, 898637, CARHR082700.1, CARHR167110.1, CARHR136290.1, 928483, 934940, 320430, 472433, 476937
cluster_305	AT3G19130.1, AT3G51800.2, AT3G51820.1, AT1G47490.1, AT1G47500.1, AT1G49600.1	CARHR037070.1, CARHR039650.1, CARHR181610.1, CARHR161430.1, 891509, 938043, 933138, CARHR161450.1, CARHR159310.1, 938046, 474095, CARHR094540.1, 331131, 473892, 479428
cluster_311	AT1G23210.1, AT4G38990.1, AT4G39000.1, AT4G02290.1, AT4G39010.1, AT1G02800.1, AT1G70710.1	335563, CARHR063970.1, CARHR247760.1, 352898, CARHR002100.1, CARHR247770.1, 490669, CARHR023670.1, 943869, 490341, CARHR250500.1, 918934, 926401
cluster_312	AT2G21300.1, AT3G51150.2, AT4G24170.1, AT4G38950.1, AT5G42490.1, AT5G66310.1	480993, 490663, CARHR112170.1, CARHR247820.1, 485469, 494786, CARHR160750.1, CARHR231570.1, 496975, CARHR281400.1, CARHR181870.1
cluster_318	AT5G65700.1, AT1G28440.1, AT4G20270.1, AT4G28490.1, AT3G49670.1, AT5G65710.1, AT1G75820.1	496807, 473063, CARHR027940.1, CARHR227100.1, CARHR158740.1, CARHR279690.1, 496808, CARHR279700.1, 492844, 937778, 476729, 938283, CARHR069240.1
cluster_319	AT3G62060.1, AT2G46930.1, AT1G09550.1, AT1G57590.1, AT3G05910.1, AT5G26670.1	CARHR009520.1, CARHR054730.1, 477888, 483863, CARHR080370.1, 489494, CARHR142280.1, 486713, CARHR186900.1, 897833, 937789, 939178, CARHR172400.1, 311997, 474842
cluster_320	AT4G28090.1, AT4G38420.1, AT1G41830.1, AT1G21850.1, AT1G21860.1, AT1G76160.1, AT4G22010.1	CARHR020870.1, CARHR020880.1, CARHR022200.1, CARHR034830.1, CARHR069710.1, 328883, 490604, CARHR294150.1, CARHR228820.1, 313077, 475543, 927007, 945946
cluster_323	AT3G17820.1, AT5G16570.1, AT5G35630.1, AT5G37600.1, AT1G48470.1, AT1G66200.3	CARHR038100.1, CARHR093170.1, CARHR215260.1, CARHR217810.1, CARHR292180.1, CARHR196640.1, CARHR260030.1, 894826, 475723, 479266, 488515, 493621, 923181, 947410
cluster_33	AT5G17420.1, AT4G38190.1, AT5G44030.1, AT1G32180.1, AT2G33100.1, AT3G03050.1, AT2G21770.1, AT2G25540.1, AT4G18780.1, AT4G32410.1, AT4G39350.1, AT5G05170.1, AT5G09870.1, AT5G64740.1, AT1G02730.1, AT5G16910.1	CARHR203480.1, CARHR225630.1, CARHR240330.1, CARHR247360.1, CARHR278730.1, CARHR085440.1, CARHR293960.1, CARHR031550.1, CARHR077060.1, CARHR196250.1, CARHR195790.1, 473399, 477551, 482247, 490578, 494593, CARHR127100.1, CARHR149670.1, CARHR208090.1, 481405, CARHR179350.1, CARHR115870.1, 932119, CARHR179260.1, 940449, 941250, 490712, 491486, 492981, 496689, 887552, 918929, CARHR002030.1, 487306, 488554, 918927
cluster_330	AT1G59500.1, AT2G14960.1, AT2G23170.1, AT4G37390.1, AT1G28130.1, AT4G27260.1, AT5G54510.1	CARHR027600.1, CARHR245770.1, 475364, 480379, 481188, 490882, CARHR105420.1, CARHR114350.1, CARHR234900.1, CARHR267790.1, 473020, 492072, 950094
cluster_334	AT3G19930.1, AT1G11260.1, AT4G21480.1, AT1G50310.1, AT3G19940.1, AT5G23270.1	CARHR040360.1, CARHR095470.1, CARHR190270.1, CARHR095460.1, CARHR228150.1, 919937, 929903, CARHR011500.1, 314430, 318745, 354635, 894206
cluster_336	AT1G01700.1, AT5G02010.1, AT2G45890.1, AT3G55660.1, AT4G00460.2, AT5G05940.1	CARHR165720.1, CARHR207280.1, CARHR294160.1, 497411, 483729, 490520, CARHR237430.1, CARHR141170.1, CARHR248560.1, CARHR000650.1, CARHR211350.1, 325218, 485999, 486978, 490605
cluster_34	AT4G30290.1, AT5G48070.1, AT2G06850.1, AT3G23730.1, AT4G14130.1, AT5G57540.1, AT5G57560.1, AT5G13870.1, AT2G18800.1, AT5G57550.1, AT4G30280.1, AT1G65310.1, AT4G03210.1, AT4G25810.1, AT4G25820.1, AT4G30270.1, AT5G57530.1	480225, CARHR238200.1, 494858, CARHR099720.1, CARHR199560.1, CARHR220150.1, 488211, CARHR103890.1, CARHR233260.1, CARHR233270.1, CARHR251660.1, CARHR271310.1, CARHR271330.1, 343582, 354208, 495853, 944964, CARHR109390.1, CARHR238180.1, CARHR238190.1, CARHR271320.1, 475586, 475629, 479888, 490240, 491721, 491722, 493497, 329091, 495852, 950444, 952394
cluster_341	AT5G19000.2, AT5G21010.1, AT2G39760.1, AT3G03740.1, AT3G06190.1, AT3G43700.1	CARHR077790.1, CARHR080710.1, CARHR191840.1, CARHR194000.1, CARHR134620.1, CARHR134610.1, 934741, 488784, 927902, 928242, 936962, 941655, 952585
cluster_342	AT5G18500.1, AT1G09440.1, AT1G56720.1, AT2G42960.1, AT3G17420.1, AT3G59110.1	CARHR009410.1, CARHR054790.1, CARHR092740.1, CARHR169530.1, CARHR194510.1, 941374, CARHR138020.1, 902301, 311987, 474837, 479218, 486380
cluster_350	AT1G42540.1, AT2G32400.1, AT2G17260.1, AT1G05200.1, AT2G32390.3, AT4G35290.2	CARHR004670.1, CARHR126210.1, CARHR243610.1, 913525, 947434, CARHR035140.1, CARHR293600.1, CARHR126220.1, 482168, 906549, 344999, 470513, 491120, 932642
cluster_358	AT5G49190.1, AT1G73370.1, AT3G43190.1, AT4G02280.1, AT5G20830.1, AT5G37180.1	CARHR215880.1, CARHR250490.1, CARHR066420.1, CARHR182470.1, CARHR192020.1, CARHR215870.1, 493691, 494980, CARHR152590.1, CARHR152600.1, CARHR152610.1, 316284, 484788, 490342, 941635
cluster_360	AT4G36920.1, AT5G67180.1, AT5G60120.2, AT2G28550.3, AT2G39250.1, AT3G54990.1	358841, 490899, CARHR273760.1, 481765, CARHR245590.1, 905670, 496151, 950765, 497236, 321616, 485918, CARHR121560.1, CARHR133990.1, CARHR164990.1, CARHR280450.1
cluster_363	AT3G12620.1, AT3G51370.1, AT3G55050.1, AT4G38520.1, AT5G66080.1, AT5G02760.1	CARHR087130.1, CARHR165070.1, CARHR210620.1, CARHR294250.1, CARHR281670.1, CARHR160970.1, 478621, 485488, 490616, 497008, 938434, 939651
cluster_364	AT3G01620.1, AT3G27540.1, AT5G14480.1, AT1G67880.1, AT2G13290.1, AT1G12990.1, AT3G26445.1	477353, 484544, 488289, CARHR060530.1, CARHR075300.1, CARHR198830.1, 480301, 926062, CARHR105120.1, 920164, CARHR013330.1, CARHR148910.1
cluster_367	AT4G39810.1, AT5G61410.1, AT5G61412.1, AT1G74390.1, AT5G07710.1, AT5G61390.1	CARHR067650.1, CARHR205460.1, CARHR275150.1, CARHR246890.1, CARHR205440.1, 950897, 917892, 888203, CARHR275170.1, 476572, 487606, 496298
cluster_369	AT4G30440.1, AT3G23820.1, AT1G02000.1, AT2G45310.1, AT4G00110.1, AT4G12250.1	CARHR000360.1, CARHR140510.1, CARHR238340.1, CARHR248150.1, CARHR254010.1, 491708, CARHR036500.1, CARHR099820.1, 490033, 918756, 930439, 935483, 943753
cluster_37	AT1G15520.1, AT1G66950.1, AT2G26910.1, AT1G15210.1, AT1G59870.1, AT2G36380.1, AT3G16340.1, AT2G36390.1, AT5G03650.1, AT3G53480.1, AT4G15215.1, AT4G15230.1, AT4G15233.2, AT4G15236.1, AT2G29940.1, AT2G37280.1, AT3G30842.1	CARHR163380.1, CARHR221940.1, 484753, 927458, 925916, 925923, 925919, 933502, CARHR113400.1, CARHR016070.1, CARHR053210.1, CARHR091550.1, CARHR119070.1, CARHR123160.1, CARHR130680.1, CARHR132310.1, CARHR015730.1, CARHR221950.1, CARHR130690.1, CARHR209650.1, 321348, 939752, 329987, 901596, 318409, 355259, 471713, 471753, 475320, 481566, 481901, 482613, 485725
cluster_382	AT2G36480.3, AT4G26520.1, AT4G26530.1, AT2G36485.1, AT2G36460.1, AT3G52930.1, AT5G03690.1	CARHR130760.1, CARHR162810.1, CARHR209610.1, 934271, CARHR130780.1, 492157, 492160, 482627, 482628, CARHR234110.1, 482625, 892283, 938186
cluster_387	AT4G11680.1, AT1G12760.1, AT3G61180.1, AT1G63170.1	CARHR013050.1, CARHR141030.1, CARHR048330.1, CARHR171490.1, CARHR254690.1, 924663, 359273, 907912, 925515, 925518, 938835, 946012, 486593, 322232, 327304, 471429
cluster_388	AT3G12020.2, AT4G39050.1, AT1G21730.1, AT5G06670.1, AT2G21380.1	CARHR247700.1, CARHR086580.1, 472412, 487477, 904097, CARHR022110.1, CARHR206540.1, CARHR206530.1, 940133, CARHR112260.1, 327857, 478554, 481003, 949340, 952455
cluster_39	AT2G26250.1, AT2G26640.1, AT1G25450.1, AT1G68530.1, AT5G49070.1, AT4G34250.1, AT5G43760.1, AT2G15090.1, AT4G34520.1, AT1G01120.1, AT2G46720.1, AT3G10280.1, AT1G04220.1, AT1G19440.1, AT2G16280.1, AT4G34510.1	CARHR115080.1, 491244, 932956, CARHR182650.1, CARHR118530.1, 494971, CARHR242910.1, CARHR003550.1, CARHR020020.1, 356713, CARHR179720.1, 472828, 480389, 926134, 944450, CARHR242900.1, 343529, CARHR026010.1, CARHR061310.1, CARHR105550.1, CARHR106510.1, CARHR242540.1, CARHR242890.1, CARHR001340.1, 346483, CARHR142090.1, 918858, 333105, 470398, 472173, 491207, 931800
cluster_390	AT1G02335.1, AT3G05930.1, AT5G26700.1, AT3G62020.1, AT1G09560.1	470194, 486710, 928205, CARHR001650.1, CARHR172370.1, CARHR186930.1, 489492, CARHR080390.1, 337025, 910662, CARHR009530.1
cluster_393	AT4G01480.1, AT1G01050.1, AT2G18230.1, AT2G46860.1, AT3G53620.1	CARHR001430.1, CARHR108760.1, CARHR142210.1, CARHR163550.1, 925353, CARHR250190.1, CARHR152470.1, CARHR249570.1, 480728, 483853, 485748, 490426, 909874
cluster_399	AT1G30490.1, AT1G52150.2, AT2G34710.1, AT4G32880.1, AT5G60690.1	CARHR042280.1, CARHR128870.1, CARHR150760.1, CARHR240880.1, CARHR274370.1, 473277, CARHR029860.1, CARHR029900.1, CARHR128830.1, 314555, 491408, 496218, 934072
cluster_40	AT5G13160.1, AT1G20650.1, AT5G16500.1, AT1G76370.1, AT3G02810.1, AT3G07070.1, AT3G24790.1, AT3G26940.1, AT4G13190.1, AT5G02800.1, AT3G20530.1, AT5G18610.1, AT1G61860.1, AT2G28590.1	CARHR007680.1, CARHR121610.1, 909257, CARHR021110.1, CARHR148100.1, CARHR050460.1, CARHR194410.1, 950010, 477523, 900623, 940781, CARHR069920.1, CARHR076820.1, CARHR081660.1, CARHR101140.1, CARHR196730.1, CARHR200310.1, CARHR218660.1, 487056, 893562, 475144, CARHR096290.1, 479578, 941387, 470821, 472299, 484482, CARHR210530.1, 319187, 333010, 340899
cluster_42	AT1G70460.1, AT5G38560.1, AT1G70450.1, AT3G18810.1, AT1G10620.1, AT4G34440.1, AT1G23540.1, AT1G26150.1, AT1G49270.1, AT1G52290.1, AT1G68690.1, AT2G18470.1, AT3G24540.1, AT3G24550.1	476166, 926369, CARHR213940.1, CARHR109280.1, 906696, 926155, 927733, 929770, 944491, CARHR042400.1, CARHR061500.1, CARHR063620.1, CARHR094220.1, CARHR010790.1, CARHR242300.1, CARHR025760.1, CARHR039260.1, CARHR040060.1, 494121, 896748, 905580, CARHR100680.1, CARHR100690.1, CARHR100720.1, CARHR109070.1, 319144, CARHR100470.1, CARHR100480.1, CARHR100490.1, CARHR023960.1, 314348, 472617, 472802, 474345, 475678, 479967, 888624, 918637, 919851
cluster_422	AT1G30100.1, AT1G78390.1, AT3G14440.1, AT4G18350.1, AT3G24220.1	473228, 478868, 493030, 927248, 952338, CARHR029310.1, CARHR071900.1, CARHR089320.1, CARHR225120.1, 924299, 356894, 930459, CARHR099930.1
cluster_426	AT2G21510.1, AT1G21080.3, AT1G76700.1, AT1G77020.1, AT4G39150.1	CARHR021530.1, CARHR070240.1, CARHR110810.1, CARHR112430.1, CARHR247600.1, CARHR053310.1, CARHR070550.1, 481016, 490686, 472346, 476830, 918615, 927099
cluster_427	AT3G17720.1, AT1G65960.2, AT2G02000.1, AT2G02010.1, AT3G17760.1, AT5G17330.1	CARHR057910.1, CARHR144610.1, CARHR144620.1, CARHR195890.1, CARHR093100.1, 484123, 488599, 925737, 929640
cluster_430	AT2G37540.1, AT5G02540.1, AT4G11410.1, AT4G23420.3, AT4G23430.2, AT1G16820.1	487032, 492531, 934410, 942999, CARHR132070.1, CARHR210820.1, CARHR230760.1, CARHR255160.1, 312655, 896254, 939397, 950479, CARHR168090.1
cluster_451	AT3G01530.1, AT3G27809.1, AT3G27810.1, AT5G40350.1, AT5G49620.2, AT5G58230.1, AT2G31530.1	322901, 902931, CARHR075400.1, CARHR149240.1, CARHR261740.1, CARHR272030.1, 495932, 320901, CARHR125170.1
cluster_453	AT5G42080.1, AT2G44590.3, AT1G14830.1, AT3G60190.1, AT3G61760.1, AT5G28410.1	CARHR172090.1, CARHR015370.1, CARHR212480.1, CARHR170510.1, CARHR139810.1, 483589, 324615, 472170, 486488, 493775, 920383
cluster_457	AT1G67800.2, AT5G14420.1, AT3G01650.1, AT5G63970.1	CARHR060430.1, CARHR075270.1, CARHR096010.1, CARHR277880.1, CARHR277890.1, 475885, 917571, CARHR198890.1, 921731, 923881, 488284, 332615, 927592, CARHR026540.1
cluster_46	AT4G24280.1, AT5G09590.1, AT4G32208.1, AT4G37910.1, AT5G02490.1, AT5G49910.1, AT1G16030.1, AT1G56410.1, AT3G09440.1, AT3G12580.1, AT5G02500.1, AT5G28540.1, AT5G42020.1	495046, 490823, CARHR212540.1, CARHR258810.1, CARHR106330.1, CARHR246320.1, CARHR046400.1, CARHR069350.1, CARHR083820.1, CARHR203790.1, CARHR210890.1, 471804, 487773, 492423, 928617, 928978, CARHR083800.1, CARHR083810.1, CARHR083850.1, CARHR087080.1, CARHR210880.1, CARHR000060.1, CARHR216290.1, CARHR016540.1, CARHR255200.1, CARHR229590.1, 314911, 487029, 493781, 892159, 924468
cluster_48	AT1G08730.1, AT5G20470.1, AT3G58160.1, AT1G04160.1, AT4G28710.1, AT1G04600.1, AT4G33200.1, AT1G17580.1, AT5G20490.1, AT1G54560.1, AT5G43900.3, AT2G20290.1, AT2G31900.1, AT2G33240.1, AT5G20450.1	359426, CARHR241220.1, CARHR192350.1, CARHR192370.1, 920678, 938803, 944613, CARHR110780.1, CARHR121920.1, CARHR125610.1, CARHR168530.1, CARHR179530.1, CARHR003500.1, CARHR192320.1, CARHR003950.1, CARHR236500.1, CARHR018180.1, CARHR241230.1, CARHR192360.1, CARHR214520.1, 319536, 321053, 482115, 494615, 889261, 893981, 919092, 919144
cluster_49	AT5G66730.1, AT1G14580.1, AT2G02070.1, AT2G02080.1, AT3G13810.2, AT3G45260.1, AT3G50700.1, AT4G02670.1, AT5G44160.1, AT1G03840.1, AT1G55110.1, AT5G03150.1, AT5G60470.1	CARHR003170.1, CARHR044700.1, CARHR160240.1, CARHR274130.1, 470357, CARHR274140.1, 948717, CARHR058740.1, CARHR058750.1, CARHR033960.1, CARHR058780.1, CARHR088580.1, CARHR280990.1, CARHR105410.1, CARHR288910.1, CARHR144720.1, CARHR150650.1, CARHR160210.1, CARHR015080.1, CARHR179110.1, CARHR210210.1, CARHR250970.1, 914631, 917794, 312456, 352566, 478784, 485418, 487085, 496927, 935944, 935945, 937195
cluster_490	AT4G34000.1, AT5G42910.1, AT3G19290.3, AT1G45229.1, AT1G45249.3, AT1G49720.2	CARHR036440.1, CARHR039760.1, CARHR242140.1, 474101, CARHR181180.1, CARHR094690.1, 479444, 473850, 491272, 915998
cluster_494	AT2G37760.2, AT2G37770.2, AT2G37790.1, AT3G53880.1	CARHR131770.1, CARHR163780.1, CARHR131740.1, CARHR131760.1, 333154, 482783, 485781, 915566, 934469
cluster_50	AT1G77410.1, AT5G63800.1, AT5G20710.1, AT5G56870.1, AT5G63810.1, AT1G45130.1, AT2G32810.1, AT4G26140.1, AT4G36360.1, AT1G31740.1, AT2G28470.1, AT3G13750.1, AT3G52840.1	CARHR126760.1, 476906, 951190, CARHR270620.1, CARHR121960.1, CARHR070900.1, 907510, CARHR126750.1, 929130, CARHR031040.1, CARHR088480.1, CARHR121420.1, CARHR162710.1, CARHR192100.1, CARHR270610.1, CARHR277710.1, CARHR277720.1, 473836, 496568, 333310, 491000, 917381, 933859, CARHR036220.1, CARHR233660.1, CARHR244700.1, 313754, 351167, 481656, 485655, 492198
cluster_501	AT3G01490.1, AT4G14780.1, AT3G22750.1, AT3G63260.1, AT5G50000.1	CARHR098600.1, CARHR291690.1, 902937, CARHR258690.1, 930269, 946872, CARHR221330.1, CARHR075470.1, 486830, 949514
cluster_504	AT2G26980.4, AT5G21222.1, AT5G21326.1, AT1G01140.3	481576, 489029, 489031, CARHR029660.1, CARHR119230.1, CARHR191670.1, CARHR191690.1, 931944, 470161, CARHR001330.1
cluster_51	AT5G65240.2, AT3G25560.3, AT4G30520.1, AT4G33430.2, AT5G45780.1, AT1G60800.1, AT5G10290.1, AT5G63710.1, AT2G23950.1, AT5G16000.1, AT1G34210.1, AT1G71830.1, AT2G13790.1, AT2G13800.1	CARHR203010.1, CARHR279180.1, CARHR109550.1, 930582, 940499, CARHR277630.1, CARHR104710.1, CARHR104720.1, CARHR184630.1, CARHR238410.1, CARHR241480.1, CARHR241490.1, CARHR290920.1, CARHR033720.1, CARHR051810.1, CARHR176190.1, 926538, 475252, 496559, 889064, 932396, CARHR197320.1, CARHR146480.1, CARHR279190.1, 484312, 941090, 918322, 319434, 330836, 491347, 913250, 931117
cluster_525	AT1G17545.1, AT1G17550.1, AT1G72770.1, AT4G26080.1, AT5G57050.1	CARHR018160.1, CARHR065690.1, CARHR233590.1, CARHR270810.1, 911565, 920676, CARHR018150.1, 492207, 495797, 926642
cluster_558	AT5G07290.1, AT5G61960.1, AT1G29400.1, AT2G42890.1, AT4G18120.1	CARHR028730.1, CARHR205860.1, CARHR224860.1, CARHR275750.1, 892659, CARHR137960.1, 950958, 902294, 493056, 912744
cluster_564	AT3G58040.1, AT2G41980.1, AT3G61790.1, AT4G27880.1, AT5G53360.1	CARHR137100.1, CARHR172120.1, CARHR168360.1, CARHR235580.1, 935056, 486680, 889354, 938787, 949927
cluster_588	AT1G65730.1, AT1G48370.1, AT3G17650.1, AT3G27020.1, AT5G45450.1, AT5G53550.1	CARHR092980.1, CARHR148210.1, CARHR037500.1, CARHR037510.1, CARHR037530.1, CARHR037980.1, CARHR057590.1, CARHR037520.1, 473974, 475677, 479246, 916997
cluster_589	AT1G60030.1, AT5G49990.1, AT1G10540.1, AT1G49960.1, AT5G62890.1	925053, CARHR258720.1, CARHR276700.1, 495055, 907266, 496474, CARHR052940.1, 474126, 910785, CARHR010700.1, CARHR039990.1
cluster_6	AT1G54330.1, AT1G56010.2, AT3G04060.1, AT3G04070.1, AT5G18270.1, AT5G39610.1, AT2G33480.1, AT3G15500.1, AT1G01720.1, AT1G61110.1, AT3G18400.1, AT1G76420.1, AT1G77450.1, AT2G24430.1, AT3G03200.1, AT3G15170.1, AT5G17260.1, AT5G08790.1, AT1G65910.1, AT5G07680.1, AT3G12977.1, AT5G53950.1, AT1G52880.1, AT3G15510.1, AT1G52890.1, AT1G69490.1, AT3G17730.1, AT4G27410.3, AT5G63790.1, AT3G29035.1, AT5G61430.1	CARHR045740.1, CARHR078180.1, CARHR117630.1, CARHR194790.1, CARHR205490.1, CARHR267090.1, CARHR043110.1, CARHR090560.1, CARHR275190.1, 474413, 478996, CARHR043100.1, 904814, 492058, 344010, 918785, 476799, 474694, 478949, CARHR195950.1, 927147, CARHR062420.1, 940372, CARHR046000.1, CARHR262680.1, CARHR090550.1, CARHR069980.1, CARHR087510.1, CARHR127490.1, 929021, CARHR090150.1, CARHR093760.1, CARHR070970.1, 924120, CARHR039140.1, CARHR093060.1, CARHR000620.1, 315244, 474412, 950321, CARHR077220.1, CARHR051650.1, CARHR078200.1, 476076, CARHR235080.1, 478997, 918162, CARHR277700.1, 904738, 326242, 477665, 477666, CARHR204220.1, 482294, 487602, 494028, 496302, 908056, 914738, 917064, 484673, CARHR057810.1, CARHR152150.1
cluster_60	AT2G44830.1, AT5G40030.1, AT3G44610.1, AT2G36350.1, AT4G26610.1, AT5G47750.1, AT3G52890.1, AT5G03640.1, AT1G16440.1, AT1G79250.1, AT3G12690.1, AT3G27580.1, AT5G55910.1	CARHR234210.1, CARHR148960.1, CARHR262070.1, CARHR016910.1, CARHR072920.1, 323150, 478629, CARHR151540.1, 482608, 492147, CARHR269280.1, 495673, 930778, CARHR087210.1, 936523, CARHR130640.1, CARHR140050.1, CARHR162760.1, CARHR234190.1, 494187, 487143, CARHR173570.1, CARHR209660.1, 485660, 316818, 355985, 471840, 483612
cluster_603	AT2G43750.1, AT3G59760.1, AT3G61440.1, AT3G03630.1	324433, 927888, 935291, CARHR077680.1, CARHR171780.1, CARHR170100.1, 342794, 486620, CARHR138930.1
cluster_61	AT5G06850.1, AT5G44760.1, AT5G48060.1, AT1G22610.1, AT3G61300.1, AT4G00700.1, AT4G11610.1, AT4G20080.1, AT5G12970.1, AT3G03680.1, AT1G74720.1, AT1G04150.1, AT1G51570.1, AT3G57880.1	910083, CARHR248860.1, 940759, CARHR178110.1, CARHR226100.1, 494505, 494857, 921284, 940129, 488114, 489983, 490500, 492863, CARHR022980.1, CARHR184230.1, CARHR200490.1, CARHR206320.1, CARHR226890.1, CARHR248820.1, CARHR254800.1, CARHR068020.1, CARHR077740.1, CARHR171610.1, 476609, 486605, CARHR248870.1, 477613, 321472, 474270, 486240, CARHR041720.1, CARHR043630.1, CARHR168190.1
cluster_620	AT2G37420.1, AT2G28620.1, AT2G36200.2, AT3G45850.1	CARHR130440.1, CARHR154150.1, 482735, CARHR132170.1, 901560, 952294, 952295, 481773, 482593, 484964, CARHR121650.1
cluster_622	AT4G16250.1, AT1G09570.1, AT2G18790.1, AT4G18130.1, AT5G35840.1	CARHR009540.1, CARHR092300.1, CARHR216760.1, CARHR224870.1, 480851, 493637, 946646, 471053, 946393
cluster_649	AT2G01130.1, AT1G48650.2, AT2G35920.1, AT5G04895.1	CARHR130170.1, CARHR143680.1, 484020, 892406, CARHR038300.1, CARHR208370.1, 946683, 482562, 923204
cluster_650	AT1G51500.1, AT1G51460.1, AT3G21080.1, AT1G17840.1, AT3G21090.1	CARHR018450.1, CARHR041660.1, CARHR096920.1, CARHR041630.1, 474258, 937378, 471997, 479628, 923635
cluster_66	AT5G60660.1, AT3G54820.1, AT3G61430.1, AT1G01620.1, AT4G00430.1, AT2G16850.1, AT4G23400.1, AT2G37170.1, AT4G35100.1, AT2G37180.1, AT2G45960.3, AT3G53420.1, AT2G16835.1, AT2G39010.1	CARHR133790.1, CARHR274340.1, 887461, 492536, 928883, 934220, 943716, CARHR171770.1, CARHR000730.1, CARHR230740.1, CARHR131680.1, CARHR243380.1, CARHR131690.1, CARHR248520.1, CARHR141230.1, CARHR151790.1, CARHR163320.1, CARHR164760.1, 934366, 950814, 470115, 480563, 482707, 482920, 483737, 485715, 485893, 486618, 491143
cluster_67	AT2G10450.1, AT2G42590.3, AT5G16050.1, AT5G38480.1, AT1G35160.2, AT1G78300.1, AT3G02520.1, AT4G09000.2, AT5G65430.3, AT5G10450.4, AT1G22290.2, AT1G22300.1, AT1G26480.1, AT1G34760.1	CARHR216190.1, CARHR260000.1, CARHR202840.1, CARHR034110.1, CARHR213900.1, CARHR260010.1, CARHR279410.1, CARHR022680.1, CARHR025480.1, CARHR034010.1, 483355, 922661, 313341, 476998, 477486, CARHR071770.1, CARHR076520.1, 496774, CARHR137730.1, CARHR197260.1, 940513, 949114, 952013, 313117, 473646, 494127, 893515, 942561
cluster_672	AT1G23380.2, AT1G70510.1, AT1G62360.1, AT4G08150.1	472599, 476175, CARHR023820.1, 489727, CARHR063720.1, CARHR259260.1, 338146, CARHR049560.1
