genids	species	highest_mean_genid
XP_005570206.3, XP_005570207.3, XP_005570209.1	Macaca fascicularis	XP_005570209.1
XP_005570978.3, XP_005570980.3, XP_045222447.1, XP_005570982.3	Macaca fascicularis	XP_005570980.3
XP_005570998.3, XP_005570999.3	Macaca fascicularis	XP_005570999.3
XP_045222451.1, XP_005571002.3, XP_045222450.1	Macaca fascicularis	XP_045222451.1
XP_005572806.2, XP_005572807.3, XP_005571168.1	Macaca fascicularis	XP_005572806.2
XP_065381374.1, XP_005574154.2	Macaca fascicularis	XP_005574154.2
XP_005575032.3, XP_065382655.1	Macaca fascicularis	XP_005575032.3
XP_015288981.3, XP_005575527.1, XP_005575530.2	Macaca fascicularis	XP_005575530.2
XP_005576773.1, XP_005576776.1	Macaca fascicularis	XP_005576773.1
XP_005578924.1, XP_005577824.1, XP_015290769.3	Macaca fascicularis	XP_005577824.1
XP_015290776.3, XP_005577939.3, XP_005578928.3	Macaca fascicularis	XP_005578928.3
XP_005577941.3, XP_005577942.2	Macaca fascicularis	XP_005577942.2
XP_005577948.3, XP_015290781.3	Macaca fascicularis	XP_005577948.3
XP_015290787.3, XP_015290208.3, XP_005577958.3	Macaca fascicularis	XP_015290208.3
XP_005578932.3, XP_015290742.3	Macaca fascicularis	XP_015290742.3
XP_045227322.1, XP_005578957.1, XP_005578969.1, XP_005578971.2, XP_045227324.1	Macaca fascicularis	XP_045227322.1
XP_005578983.3, XP_045227318.2	Macaca fascicularis	XP_045227318.2
XP_005578996.3, XP_015291527.3	Macaca fascicularis	XP_005578996.3
XP_045228441.2, XP_005579149.1	Macaca fascicularis	XP_045228441.2
XP_065385822.1, XP_005580063.3, XP_065385821.1	Macaca fascicularis	XP_005580063.3
XP_005580535.2, XP_015291720.3, XP_045230165.2	Macaca fascicularis	XP_005580535.2
XP_005581206.3, XP_005581207.3	Macaca fascicularis	XP_005581206.3
XP_005582423.3, XP_015292234.2, XP_005581389.3	Macaca fascicularis	XP_005582423.3
XP_005581677.3, XP_005581678.3, XP_005581680.3	Macaca fascicularis	XP_005581680.3
XP_005581692.3, XP_005581683.3, XP_005581684.3, XP_005581685.3, XP_005581687.3, XP_065387149.1, XP_045228739.2, XP_045228741.2, XP_045228737.2	Macaca fascicularis	XP_045228741.2
XP_005582343.2, XP_045228788.2	Macaca fascicularis	XP_045228788.2
XP_065388574.1, XP_005582552.3, XP_005582553.3	Macaca fascicularis	XP_005582552.3
XP_005582554.3, XP_045231566.1	Macaca fascicularis	XP_045231566.1
XP_015293130.3, XP_005582953.1, XP_005582955.2, XP_005582956.3, XP_005582958.3	Macaca fascicularis	XP_005582955.2
XP_005583217.3, XP_015292894.3	Macaca fascicularis	XP_005583217.3
XP_005583805.1, XP_005583807.1	Macaca fascicularis	XP_005583805.1
XP_005584172.2, XP_005584173.2, XP_005584174.1	Macaca fascicularis	XP_005584174.1
XP_005584196.1, XP_015293955.3, XP_045231908.1, XP_015293953.1	Macaca fascicularis	XP_005584196.1
XP_045231909.2, XP_015293951.1, XP_005584203.2	Macaca fascicularis	XP_015293951.1
XP_005584205.2, XP_005584206.2	Macaca fascicularis	XP_005584205.2
XP_005584225.3, XP_005584226.1, XP_005584227.3, XP_005584228.2	Macaca fascicularis	XP_005584225.3
XP_005584230.3, XP_005584231.1, XP_005584233.3	Macaca fascicularis	XP_005584231.1
XP_005584243.3, XP_015293972.3	Macaca fascicularis	XP_005584243.3
XP_005584300.3, XP_045230770.1	Macaca fascicularis	XP_045230770.1
XP_005584359.3, XP_015294013.3	Macaca fascicularis	XP_005584359.3
XP_005584725.3, XP_045240469.1, XP_065387920.1	Macaca fascicularis	XP_045240469.1
XP_005586573.3, XP_015295138.3	Macaca fascicularis	XP_015295138.3
XP_045233738.1, XP_005587158.1	Macaca fascicularis	XP_005587158.1
XP_015295842.3, XP_065392190.1, XP_005587722.3	Macaca fascicularis	XP_015295842.3
XP_005587788.3, XP_005587789.3	Macaca fascicularis	XP_005587788.3
XP_005588350.3, XP_015295650.3	Macaca fascicularis	XP_015295650.3
XP_005588360.4, XP_005588361.3	Macaca fascicularis	XP_005588360.4
XP_005589223.3, XP_065392109.1	Macaca fascicularis	XP_065392109.1
XP_005589612.1, XP_065391716.1	Macaca fascicularis	XP_005589612.1
XP_005589899.3, XP_065390818.1, XP_015296451.3, XP_045235096.1	Macaca fascicularis	XP_045235096.1
XP_005590346.3, XP_065390942.1	Macaca fascicularis	XP_005590346.3
XP_005590786.3, XP_045238228.1	Macaca fascicularis	XP_005590786.3
XP_045238646.2, XP_005590788.3	Macaca fascicularis	XP_005590788.3
XP_005590889.3, XP_005590891.3	Macaca fascicularis	XP_005590891.3
XP_005591376.3, XP_065393129.1	Macaca fascicularis	XP_065393129.1
XP_045237784.2, XP_005591701.3, XP_005591694.2, XP_065393094.1, XP_065393089.1	Macaca fascicularis	XP_045237784.2
XP_005592006.3, XP_015298643.3	Macaca fascicularis	XP_005592006.3
XP_005592027.1, XP_005592032.1	Macaca fascicularis	XP_005592032.1
XP_005592033.2, XP_005592027.1, XP_005592028.3, XP_045238182.1, XP_005592032.1, XP_005592035.1, XP_005592040.3, XP_005592041.1, XP_005592042.3, XP_015298613.1, XP_005592038.3, XP_045238181.2, XP_065393493.1	Macaca fascicularis	XP_005592032.1
XP_005592466.2, XP_065393433.1	Macaca fascicularis	XP_005592466.2
XP_065394262.1, XP_005593331.3	Macaca fascicularis	XP_005593331.3
XP_005593501.3, XP_045239498.1	Macaca fascicularis	XP_005593501.3
XP_005593505.2, XP_045239497.2	Macaca fascicularis	XP_005593505.2
XP_045239603.2, XP_005593617.1, XP_005593619.3, XP_065393921.1, XP_065393878.1, XP_065393908.1, XP_065394008.1, XP_065394010.1, XP_065394014.1, XP_065394015.1	Macaca fascicularis	XP_045239603.2
XP_005593800.2, XP_065394117.1	Macaca fascicularis	XP_005593800.2
XP_005594316.2, XP_045239369.2	Macaca fascicularis	XP_005594316.2
XP_005594702.1, XP_045240091.1, XP_015299684.1	Macaca fascicularis	XP_005594702.1
XP_005594914.1, XP_045239847.1	Macaca fascicularis	XP_005594914.1
XP_045239283.2, XP_005594918.3, XP_005594921.3	Macaca fascicularis	XP_005594918.3
XP_005595022.2, XP_065393951.1	Macaca fascicularis	XP_005595022.2
XP_005595732.3, XP_065402108.1	Macaca fascicularis	XP_005595732.3
XP_015285800.3, XP_065381213.1	Macaca fascicularis	XP_015285800.3
XP_045220604.2, XP_015285869.3	Macaca fascicularis	XP_045220604.2
XP_015288638.3, XP_015288160.2	Macaca fascicularis	XP_015288160.2
XP_015288547.3, XP_045224385.2	Macaca fascicularis	XP_015288547.3
XP_015289676.3, XP_015290170.3	Macaca fascicularis	XP_015289676.3
XP_045227818.2, XP_015290179.3	Macaca fascicularis	XP_015290179.3
XP_045226631.1, XP_015290803.2	Macaca fascicularis	XP_015290803.2
XP_015291525.3, XP_065385808.1	Macaca fascicularis	XP_065385808.1
XP_015292809.3, XP_045228500.2	Macaca fascicularis	XP_045228500.2
XP_015295714.3, XP_045235704.2, XP_015295709.3	Macaca fascicularis	XP_015295709.3
XP_015296299.3, XP_045235309.2	Macaca fascicularis	XP_015296299.3
XP_045236451.1, XP_015296739.2	Macaca fascicularis	XP_015296739.2
XP_015296841.3, XP_015296839.3	Macaca fascicularis	XP_015296841.3
XP_015298120.2, XP_015297696.2	Macaca fascicularis	XP_015297696.2
XP_065385510.1, XP_015297718.3	Macaca fascicularis	XP_015297718.3
XP_045238299.2, XP_015298642.3	Macaca fascicularis	XP_015298642.3
XP_015298873.2, XP_045240392.2	Macaca fascicularis	XP_045240392.2
XP_045239502.2, XP_065394778.1, XP_015299128.3	Macaca fascicularis	XP_045239502.2
XP_015300807.2, XP_065396737.1	Macaca fascicularis	XP_065396737.1
XP_015300961.3, XP_045241179.2, XP_065395405.1, XP_045241177.2	Macaca fascicularis	XP_065395405.1
XP_045245431.2, XP_015302604.3	Macaca fascicularis	XP_015302604.3
XP_015303693.3, XP_065397253.1	Macaca fascicularis	XP_065397253.1
XP_015305231.2, XP_045246525.2	Macaca fascicularis	XP_015305231.2
XP_015305249.1, XP_015305252.1	Macaca fascicularis	XP_015305249.1
XP_015308892.3, XP_045221916.2	Macaca fascicularis	XP_045221916.2
XP_045251053.2, XP_015308961.3	Macaca fascicularis	XP_045251053.2
XP_015309101.3, XP_065392270.1	Macaca fascicularis	XP_065392270.1
XP_015310704.3, XP_065374756.1, XP_065374757.1	Macaca fascicularis	XP_015310704.3
XP_015311077.1, XP_065376081.1	Macaca fascicularis	XP_015311077.1
XP_015311894.3, XP_045217159.2	Macaca fascicularis	XP_045217159.2
XP_045217169.2, XP_065377238.1	Macaca fascicularis	XP_045217169.2
XP_045218964.1, XP_065377938.1	Macaca fascicularis	XP_065377938.1
XP_045220173.2, XP_045220175.2	Macaca fascicularis	XP_045220175.2
XP_045220618.2, XP_065379759.1, XP_065379761.1	Macaca fascicularis	XP_045220618.2
XP_045240546.2, XP_045220686.2	Macaca fascicularis	XP_045240546.2
XP_045222202.1, XP_045222215.2	Macaca fascicularis	XP_045222202.1
XP_045226627.2, XP_045226626.2	Macaca fascicularis	XP_045226626.2
XP_045226651.2, XP_065385782.1	Macaca fascicularis	XP_045226651.2
XP_065384206.1, XP_045227859.2	Macaca fascicularis	XP_045227859.2
XP_045229262.1, XP_065386527.1	Macaca fascicularis	XP_045229262.1
XP_045231155.2, XP_065388980.1	Macaca fascicularis	XP_045231155.2
XP_045231726.1, XP_065388278.1, XP_065388613.1	Macaca fascicularis	XP_045231726.1
XP_045231732.2, XP_065388609.1, XP_065388608.1	Macaca fascicularis	XP_065388608.1
XP_045231900.2, XP_045231901.2	Macaca fascicularis	XP_045231901.2
XP_045232865.1, XP_065402845.1	Macaca fascicularis	XP_045232865.1
XP_065389953.1, XP_065389942.1, XP_045233663.2, XP_065389937.1, XP_065389939.1, XP_065389940.1, XP_065389941.1, XP_065389955.1	Macaca fascicularis	XP_065389955.1
XP_045234641.2, XP_045234639.2	Macaca fascicularis	XP_045234639.2
XP_045235971.2, XP_045235249.2	Macaca fascicularis	XP_045235971.2
XP_045235254.2, XP_065391004.1	Macaca fascicularis	XP_045235254.2
XP_065390975.1, XP_045235688.2, XP_065390979.1, XP_065390981.1, XP_065390983.1	Macaca fascicularis	XP_065390983.1
XP_045235898.2, XP_065392310.1, XP_045236287.2	Macaca fascicularis	XP_065392310.1
XP_015296395.3, XP_045236141.2	Macaca fascicularis	XP_045236141.2
XP_045236233.2, XP_045236878.2	Macaca fascicularis	XP_045236233.2
XP_045236677.2, XP_045236665.2	Macaca fascicularis	XP_045236677.2
XP_065390539.1, XP_045237218.2	Macaca fascicularis	XP_045237218.2
XP_045237657.1, XP_065392776.1	Macaca fascicularis	XP_065392776.1
XP_045239435.2, XP_045239436.2	Macaca fascicularis	XP_045239435.2
XP_045239704.2, XP_065393952.1	Macaca fascicularis	XP_045239704.2
XP_045239783.1, XP_065393882.1	Macaca fascicularis	XP_045239783.1
XP_045240472.2, XP_065388278.1, XP_065388611.1, XP_065388613.1	Macaca fascicularis	XP_065388611.1
XP_045240546.2, XP_045240545.2, XP_045220686.2, XP_065379572.1, XP_065379573.1, XP_065379574.1	Macaca fascicularis	XP_065379574.1
XP_045240554.2, XP_065398649.1, XP_065398650.1	Macaca fascicularis	XP_065398649.1
XP_045240560.2, XP_045240557.2, XP_065387477.1, XP_065387480.1, XP_065387485.1, XP_065387491.1, XP_065387497.1, XP_065387502.1, XP_065387507.1, XP_065387511.1, XP_065387522.1, XP_065387526.1, XP_065387529.1	Macaca fascicularis	XP_045240560.2
XP_045240559.2, XP_065402060.1, XP_065402061.1, XP_065402062.1, XP_065402063.1, XP_065402064.1, XP_065402066.1, XP_065402067.1, XP_065402068.1, XP_065402069.1, XP_065402070.1, XP_065402071.1, XP_065402073.1, XP_065402074.1, XP_065402075.1, XP_065402076.1, XP_065402077.1, XP_065402078.1, XP_065402079.1, XP_065402081.1, XP_065402082.1, XP_065402083.1, XP_065402084.1, XP_065402085.1, XP_065402086.1	Macaca fascicularis	XP_045240559.2
XP_065395405.1, XP_045241177.2	Macaca fascicularis	XP_065395405.1
XP_045241290.2, XP_065395673.1	Macaca fascicularis	XP_065395673.1
XP_045243340.2, XP_065397165.1	Macaca fascicularis	XP_045243340.2
XP_045255565.2, XP_045245314.2	Macaca fascicularis	XP_045245314.2
XP_045245792.2, XP_065398775.1	Macaca fascicularis	XP_065398775.1
XP_045245949.1, XP_065400384.1	Macaca fascicularis	XP_045245949.1
XP_045246104.1, XP_045246103.2, XP_045246105.1	Macaca fascicularis	XP_045246104.1
XP_045246964.2, XP_045246961.2, XP_065399990.1, XP_045246960.1	Macaca fascicularis	XP_045246964.2
XP_045250682.1, XP_045250683.2, XP_065402289.1, XP_065402290.1, XP_065402292.1	Macaca fascicularis	XP_065402292.1
XP_045252639.2, XP_045252640.2	Macaca fascicularis	XP_045252640.2
XP_045253100.2, XP_065403766.1	Macaca fascicularis	XP_065403766.1
XP_065376261.1, XP_065376259.1	Macaca fascicularis	XP_065376261.1
XP_065377236.1, XP_065391310.1, XP_065391235.1	Macaca fascicularis	XP_065391310.1
XP_065377826.1, XP_065377822.1	Macaca fascicularis	XP_065377826.1
XP_065378987.1, XP_065378989.1	Macaca fascicularis	XP_065378987.1
XP_065381380.1, XP_065382352.1	Macaca fascicularis	XP_065382352.1
XP_065384173.1, XP_065384174.1, XP_065385771.1	Macaca fascicularis	XP_065385771.1
XP_065384184.1, XP_065384185.1, XP_065385772.1	Macaca fascicularis	XP_065385772.1
XP_065386747.1, XP_065386745.1	Macaca fascicularis	XP_065386747.1
XP_065387144.1, XP_065387143.1	Macaca fascicularis	XP_065387143.1
XP_065387250.1, XP_065387253.1	Macaca fascicularis	XP_065387250.1
XP_065387864.1, XP_065387865.1	Macaca fascicularis	XP_065387865.1
XP_065388590.1, XP_065388593.1	Macaca fascicularis	XP_065388593.1
XP_065390395.1, XP_065390406.1	Macaca fascicularis	XP_065390395.1
XP_065390767.1, XP_065390773.1	Macaca fascicularis	XP_065390773.1
XP_065391718.1, XP_065391723.1	Macaca fascicularis	XP_065391718.1
XP_065393877.1, XP_065393975.1	Macaca fascicularis	XP_065393877.1
XP_065394012.1, XP_065394858.1	Macaca fascicularis	XP_065394858.1
XP_065394034.1, XP_065394236.1, XP_065394366.1	Macaca fascicularis	XP_065394034.1
XP_065394074.1, XP_065394038.1, XP_065394059.1	Macaca fascicularis	XP_065394038.1
XP_065394883.1, XP_065394889.1	Macaca fascicularis	XP_065394883.1
XP_065394543.1, XP_065394891.1	Macaca fascicularis	XP_065394543.1
XP_065397204.1, XP_065397206.1, XP_065397207.1, XP_065397208.1, XP_065397209.1, XP_065397210.1, XP_065397211.1, XP_065397212.1, XP_065397213.1, XP_065397214.1, XP_065397215.1, XP_065397217.1, XP_065397218.1, XP_065397219.1, XP_065397222.1	Macaca fascicularis	XP_065397204.1
XP_065397218.1, XP_065397219.1, XP_065397220.1, XP_065397221.1, XP_065397222.1, XP_065397223.1, XP_065397224.1, XP_065397225.1, XP_065397226.1	Macaca fascicularis	XP_065397218.1
XP_065397793.1, XP_065397789.1	Macaca fascicularis	XP_065397789.1
XP_045240554.2, XP_005550882.3, XP_065398644.1, XP_065398647.1, XP_065398650.1, XP_065398651.1	Macaca fascicularis	XP_065398644.1
XP_065399037.1, XP_065399034.1	Macaca fascicularis	XP_065399034.1
XP_065399088.1, XP_065399083.1	Macaca fascicularis	XP_065399088.1
XP_065400388.1, XP_065400389.1	Macaca fascicularis	XP_065400388.1
XP_065401289.1, XP_065401291.1	Macaca fascicularis	XP_065401289.1
XP_065401334.1, XP_065401336.1	Macaca fascicularis	XP_065401336.1
XP_065401563.1, XP_065401564.1	Macaca fascicularis	XP_065401563.1
XP_065402011.1, XP_065402012.1, XP_065402013.1, XP_065402014.1	Macaca fascicularis	XP_065402011.1
XP_065402036.1, XP_065402192.1, XP_065402193.1, XP_065403264.1, XP_065403265.1	Macaca fascicularis	XP_065402036.1
XP_065402850.1, XP_065402866.1	Macaca fascicularis	XP_065402850.1
XP_065403759.1, XP_065403760.1	Macaca fascicularis	XP_065403760.1
XP_065403802.1, XP_065403792.1, XP_065403793.1	Macaca fascicularis	XP_065403802.1
XP_065404645.1, XP_065404646.1	Macaca fascicularis	XP_065404646.1
NP_001001805.2, NP_667325.1	Mus musculus	NP_667325.1
NP_001001809.2, NP_667092.1	Mus musculus	NP_001001809.2
NP_001003405.1, NP_035776.1	Mus musculus	NP_035776.1
NP_001188252.1, NP_034797.1, NP_001003668.2, NP_058575.2, NP_001159629.1	Mus musculus	NP_001188252.1
NP_001004142.2, NP_001155886.1	Mus musculus	NP_001004142.2
NP_997119.1, NP_001005568.1, NP_667118.2, NP_667119.1	Mus musculus	NP_997119.1
NP_001005570.2, NP_001011542.1	Mus musculus	NP_001005570.2
NP_001007462.1, XP_006533913.1, XP_006534518.1	Mus musculus	XP_006533913.1
NP_001107208.2, NP_001107207.1, NP_001007580.1, XP_017175815.1	Mus musculus	NP_001107208.2
NP_839975.2, NP_001008426.1	Mus musculus	NP_839975.2
NP_808266.1, NP_796043.1, NP_001008428.1	Mus musculus	NP_796043.1
NP_001010827.1, NP_001010829.1	Mus musculus	NP_001010827.1
NP_001010830.1, NP_001010837.1, NP_001010840.1	Mus musculus	NP_001010840.1
NP_001010835.1, NP_001010838.1, NP_001010839.1	Mus musculus	NP_001010838.1
NP_001011519.1, NP_666432.2	Mus musculus	NP_001011519.1
NP_001011523.2, NP_666997.2, NP_667021.2	Mus musculus	NP_667021.2
NP_001011525.1, NP_667249.1, NP_667250.1	Mus musculus	NP_667250.1
NP_666655.1, NP_667198.1, NP_001011528.2	Mus musculus	NP_667198.1
NP_667176.1, NP_001011529.1	Mus musculus	NP_667176.1
NP_997578.1, NP_997036.2, NP_666713.2, NP_667090.1, NP_001011531.3	Mus musculus	NP_001011531.3
NP_666961.1, NP_001011533.2, XP_011240257.2	Mus musculus	NP_001011533.2
NP_001011785.1, NP_001011534.1	Mus musculus	NP_001011785.1
NP_001011816.1, NP_001011535.1	Mus musculus	NP_001011816.1
NP_001011662.2, NP_667210.2	Mus musculus	NP_001011662.2
NP_001011695.1, NP_666647.2, NP_666648.2	Mus musculus	NP_666648.2
NP_001011707.1, NP_082467.2	Mus musculus	NP_082467.2
NP_001011721.2, NP_667044.1, NP_667045.1	Mus musculus	NP_001011721.2
NP_001011733.2, NP_001011779.1, NP_001011780.1	Mus musculus	NP_001011780.1
NP_001011736.1, NP_666697.2, NP_667202.1, NP_667203.2, NP_997434.2	Mus musculus	NP_667203.2
NP_001011739.1, XP_030100251.1, NP_666531.1, NP_666634.1, NP_666635.1, NP_666693.1	Mus musculus	NP_666635.1
NP_001011741.1, NP_001011805.1, NP_666684.1	Mus musculus	NP_001011805.1
NP_001011749.1, NP_666465.1, NP_666807.1, NP_667243.2	Mus musculus	NP_667243.2
NP_001011752.1, NP_666831.2	Mus musculus	NP_666831.2
NP_001011753.2, NP_666399.1, NP_666843.1	Mus musculus	NP_666843.1
NP_001011757.1, NP_666959.1	Mus musculus	NP_666959.1
NP_001011758.2, NP_666780.2	Mus musculus	NP_666780.2
NP_001011774.1, NP_001011852.2	Mus musculus	NP_001011852.2
NP_001011777.1, NP_001011784.2, NP_997444.2	Mus musculus	NP_001011784.2
NP_001011787.1, NP_997034.1	Mus musculus	NP_001011787.1
NP_001011790.1, NP_666680.2, NP_997456.1	Mus musculus	NP_666680.2
NP_001011791.1, NP_001011807.2	Mus musculus	NP_001011791.1
NP_001011793.1, NP_001011845.2, NP_666942.1	Mus musculus	NP_666942.1
NP_001011796.2, NP_667002.2, NP_667177.2	Mus musculus	NP_667177.2
NP_001011799.1, NP_667197.1	Mus musculus	NP_667197.1
NP_001011800.1, NP_001011801.1	Mus musculus	NP_001011800.1
NP_001011802.1, NP_666659.1	Mus musculus	NP_666659.1
NP_001011810.2, NP_666707.1	Mus musculus	NP_666707.1
NP_001011813.1, NP_874373.2	Mus musculus	NP_874373.2
NP_001011819.1, NP_666747.2, NP_666748.2	Mus musculus	NP_001011819.1
NP_001011821.1, NP_666764.1, NP_666766.1	Mus musculus	NP_666764.1
NP_001011822.1, NP_001292362.1, NP_666762.1	Mus musculus	NP_666762.1
NP_001011826.1, NP_001011859.1, NP_666820.2, NP_666822.1, NP_666823.1, NP_667037.1	Mus musculus	NP_666822.1
NP_001011827.1, NP_666391.1, NP_666715.1	Mus musculus	NP_001011827.1
NP_001011828.1, NP_666827.2	Mus musculus	NP_666827.2
NP_001011830.2, NP_666842.1, NP_998886.2	Mus musculus	NP_666842.1
NP_001011833.1, NP_666870.2	Mus musculus	NP_666870.2
NP_001011834.1, NP_666849.1	Mus musculus	NP_666849.1
NP_001011835.1, NP_666855.1	Mus musculus	NP_001011835.1
NP_001011839.1, NP_666896.2, NP_666897.2, NP_666898.2	Mus musculus	NP_666896.2
NP_001011842.1, NP_997015.2, NP_666413.1, NP_666901.2, NP_666907.2	Mus musculus	NP_666907.2
NP_001011846.1, NP_666418.1, NP_666936.1, NP_666937.1, NP_997043.1	Mus musculus	NP_666936.1
NP_001011853.1, NP_666890.1, NP_666891.1, NP_666892.1, NP_667020.1	Mus musculus	NP_667020.1
NP_001011856.2, NP_666446.1	Mus musculus	NP_666446.1
NP_001011860.1, NP_667103.2, NP_667113.2	Mus musculus	NP_667113.2
NP_001011749.1, NP_001011862.1, NP_666807.1, NP_666811.1, NP_083186.2	Mus musculus	NP_666811.1
NP_035132.2, NP_001011863.1	Mus musculus	NP_001011863.1
NP_001011864.1, NP_666995.1	Mus musculus	NP_666995.1
NP_001011856.2, NP_001011870.2, NP_666446.1, NP_666511.2	Mus musculus	NP_666511.2
NP_001011871.1, NP_666954.1	Mus musculus	NP_001011871.1
NP_001011872.2, NP_666789.1, NP_666790.2	Mus musculus	NP_666790.2
NP_001012269.2, NP_666643.1	Mus musculus	NP_666643.1
NP_001011753.2, NP_001013593.2, NP_666399.1, NP_666401.1	Mus musculus	NP_666399.1
NP_001013792.2, NP_001310180.1	Mus musculus	NP_001013792.2
NP_001013798.2, NP_001365572.1	Mus musculus	NP_001013798.2
NP_001013807.2, NP_038805.2	Mus musculus	NP_038805.2
NP_598996.1, NP_001013809.1	Mus musculus	NP_598996.1
NP_001034683.1, NP_001257355.1, NP_079777.1, NP_001241654.1, NP_001018089.1, NP_149410.1	Mus musculus	NP_001034683.1
NP_001019319.1, NP_444414.2	Mus musculus	NP_001019319.1
NP_001019401.2, NP_001039005.1, NP_001108151.1	Mus musculus	NP_001019401.2
NP_001104507.1, NP_001229876.1, NP_001229878.1, NP_001229879.1, NP_001229880.1, NP_001229881.1, NP_001229882.1, NP_001229883.1, NP_001108001.1, NP_001020431.1	Mus musculus	NP_001104507.1
NP_001020554.1, NP_001020555.2	Mus musculus	NP_001020554.1
NP_667308.2, NP_001020557.1	Mus musculus	NP_001020557.1
NP_001025108.1, NP_653103.1	Mus musculus	NP_653103.1
NP_112736.3, NP_031567.1, NP_001027469.2	Mus musculus	NP_001027469.2
NP_997091.3, NP_001028371.1	Mus musculus	NP_001028371.1
NP_001028401.2, NP_034121.4	Mus musculus	NP_034121.4
NP_899145.2, NP_001029076.1, NP_001106658.1	Mus musculus	NP_001106658.1
NP_778165.1, NP_001029153.1	Mus musculus	NP_001029153.1
NP_001030028.1, XP_006541575.1	Mus musculus	NP_001030028.1
NP_991379.3, NP_001030040.2	Mus musculus	NP_001030040.2
NP_473401.1, NP_001032245.1	Mus musculus	NP_473401.1
NP_705743.1, NP_001033014.1	Mus musculus	NP_705743.1
NP_001264113.1, NP_001033786.1, NP_112551.2	Mus musculus	NP_001033786.1
NP_035775.1, NP_001034085.1, NP_001034086.1	Mus musculus	NP_001034086.1
NP_109604.1, NP_001034634.2, NP_034985.2, XP_036012291.1, NP_001074719.1	Mus musculus	NP_034985.2
NP_001034683.1, NP_079777.1, NP_149410.1	Mus musculus	NP_001034683.1
NP_001358022.1, NP_001411648.1, NP_001034737.2	Mus musculus	NP_001358022.1
NP_001119517.1, NP_001034978.1, NP_001297632.1	Mus musculus	NP_001119517.1
NP_001153622.1, NP_001153623.1, NP_001153624.1, NP_001036176.1	Mus musculus	NP_001153622.1
NP_001296984.1, NP_001038949.1	Mus musculus	NP_001296984.1
NP_666135.1, NP_001070964.1	Mus musculus	NP_666135.1
XP_017172711.1, NP_001071101.1, XP_017173087.1	Mus musculus	XP_017173087.1
NP_665688.2, NP_001020411.1, NP_001073400.1	Mus musculus	NP_665688.2
NP_001074436.1, NP_001075452.1	Mus musculus	NP_001075452.1
NP_031458.2, NP_031459.3, NP_001074551.1	Mus musculus	NP_031459.3
NP_001074697.1, NP_084464.3	Mus musculus	NP_001074697.1
XP_036012291.1, NP_001074719.1	Mus musculus	XP_036012291.1
NP_038825.1, NP_001074787.1	Mus musculus	NP_038825.1
NP_031980.2, NP_001074841.1	Mus musculus	NP_031980.2
NP_001096072.1, NP_001074917.1, NP_001096835.1, NP_001096836.1	Mus musculus	NP_001096836.1
NP_955771.2, NP_001074940.1, NP_081610.2	Mus musculus	NP_001074940.1
NP_001263325.1, NP_001075130.1	Mus musculus	NP_001075130.1
NP_001075444.1, NP_080496.1	Mus musculus	NP_001075444.1
NP_031800.1, NP_658906.1, NP_001076042.1, NP_031802.2, NP_031803.3	Mus musculus	NP_031803.3
NP_001077424.1, NP_032244.2	Mus musculus	NP_001077424.1
NP_766568.1, NP_001078987.1	Mus musculus	NP_766568.1
NP_001092796.1, NP_001078993.1, NP_001078994.1	Mus musculus	NP_001078994.1
NP_001230079.1, NP_922871.1, NP_001078997.1, NP_001079000.1, NP_001230084.1, NP_001230094.1, NP_001155080.1, NP_001079001.1, NP_001092310.1, NP_001092311.1, NP_001079002.1, NP_001230095.1, NP_001155081.1, NP_001155082.1, NP_001230096.1	Mus musculus	NP_001155080.1
NP_001091447.2, NP_001079007.1, NP_001119798.1, NP_001171049.1	Mus musculus	NP_001091447.2
NP_001365536.1, NP_001091446.1	Mus musculus	NP_001365536.1
NP_001091448.2, NP_001104025.1	Mus musculus	NP_001091448.2
NP_001349684.1, NP_001092767.1	Mus musculus	NP_001092767.1
NP_001120826.1, NP_001092816.1, NP_001171008.2, NP_082076.1	Mus musculus	NP_001120826.1
NP_001093651.1, NP_964002.2	Mus musculus	NP_001093651.1
NP_001136247.1, NP_001093936.2	Mus musculus	NP_001136247.1
NP_001094915.1, NP_077762.1	Mus musculus	NP_077762.1
NP_001094933.1, NP_081345.2	Mus musculus	NP_001094933.1
NP_444463.2, NP_001095049.1	Mus musculus	NP_444463.2
NP_001095068.1, XP_006540391.1	Mus musculus	NP_001095068.1
NP_056556.1, NP_001191959.1, NP_001095083.1	Mus musculus	NP_056556.1
NP_001095127.1, NP_954671.1, XP_030102331.1	Mus musculus	XP_030102331.1
NP_001096623.1, NP_444473.1	Mus musculus	NP_444473.1
NP_034135.2, NP_001098001.1	Mus musculus	NP_034135.2
NP_001098012.1, NP_001098013.1	Mus musculus	NP_001098012.1
NP_001098042.1, NP_001098041.1	Mus musculus	NP_001098042.1
NP_001098050.1, NP_001098049.1	Mus musculus	NP_001098049.1
NP_001098109.1, NP_001098111.1	Mus musculus	NP_001098109.1
XP_036008379.1, XP_036009214.1, NP_001098114.2, XP_036009253.1	Mus musculus	XP_036008379.1
NP_001098543.1, NP_033519.1	Mus musculus	NP_001098543.1
NP_001098622.1, NP_001098626.1	Mus musculus	NP_001098626.1
NP_035774.2, NP_001103367.1	Mus musculus	NP_001103367.1
NP_001104788.1, NP_083659.1	Mus musculus	NP_001104788.1
NP_001106890.1, NP_001106892.1	Mus musculus	NP_001106890.1
